Run,Generation,BestSoFar,BestInGeneration,MeanCycle
1,1,12574.0,12574.0,12652.42
1,2,12574.0,12574.0,12640.260869565218
1,3,12544.0,12544.0,12626.942528735632
1,4,12544.0,12544.0,12626.258426966293
1,5,12544.0,12544.0,12620.966292134832
1,6,12544.0,12544.0,12622.271739130434
1,7,12544.0,12544.0,12613.57142857143
1,8,12544.0,12544.0,12608.66265060241
1,9,12544.0,12544.0,12607.848837209302
1,10,12544.0,12544.0,12603.235294117647
1,11,12544.0,12544.0,12600.488095238095
1,12,12542.0,12542.0,12594.152941176471
1,13,12542.0,12542.0,12594.119047619048
1,14,12542.0,12542.0,12597.011363636364
1,15,12542.0,12542.0,12593.593023255815
1,16,12542.0,12542.0,12594.961538461539
1,17,12542.0,12542.0,12592.19512195122
1,18,12542.0,12542.0,12594.77108433735
1,19,12542.0,12542.0,12589.703703703704
1,20,12542.0,12542.0,12587.60759493671
1,21,12542.0,12542.0,12594.977777777778
1,22,12542.0,12542.0,12590.068965517241
1,23,12542.0,12542.0,12592.918604651162
1,24,12542.0,12542.0,12594.548387096775
1,25,12542.0,12542.0,12602.234042553191
1,26,12542.0,12542.0,12596.363636363636
1,27,12542.0,12542.0,12599.6
1,28,12542.0,12542.0,12592.67415730337
1,29,12542.0,12542.0,12602.54945054945
1,30,12542.0,12542.0,12594.857142857143
1,31,12542.0,12542.0,12590.073170731708
1,32,12542.0,12542.0,12596.746835443038
1,33,12542.0,12542.0,12597.0125
1,34,12542.0,12542.0,12594.439560439561
1,35,12542.0,12542.0,12592.216867469879
1,36,12542.0,12542.0,12591.390243902439
1,37,12542.0,12542.0,12594.404761904761
1,38,12542.0,12542.0,12589.103448275862
1,39,12542.0,12542.0,12591.518518518518
1,40,12542.0,12542.0,12594.761904761905
1,41,12542.0,12542.0,12583.813953488372
1,42,12542.0,12542.0,12593.90909090909
1,43,12542.0,12542.0,12579.270588235295
1,44,12542.0,12542.0,12578.142857142857
1,45,12542.0,12542.0,12582.917647058823
1,46,12542.0,12542.0,12585.96511627907
1,47,12542.0,12542.0,12590.738636363636
1,48,12542.0,12542.0,12591.326086956522
1,49,12542.0,12542.0,12587.288888888888
1,50,12542.0,12542.0,12589.564705882352
1,51,12542.0,12542.0,12593.280898876405
1,52,12542.0,12542.0,12592.17441860465
1,53,12542.0,12542.0,12595.370786516854
1,54,12542.0,12542.0,12597.204819277109
1,55,12542.0,12542.0,12594.790697674418
1,56,12542.0,12542.0,12599.772151898735
1,57,12542.0,12542.0,12588.463414634147
1,58,12542.0,12542.0,12590.0
1,59,12542.0,12542.0,12578.785714285714
1,60,12542.0,12542.0,12585.785714285714
1,61,12542.0,12542.0,12586.71590909091
1,62,12542.0,12542.0,12591.238095238095
1,63,12542.0,12542.0,12588.41573033708
1,64,12542.0,12542.0,12594.670454545454
1,65,12542.0,12542.0,12595.833333333334
1,66,12542.0,12542.0,12585.151162790698
1,67,12542.0,12542.0,12587.633333333333
1,68,12542.0,12542.0,12595.272727272728
1,69,12542.0,12542.0,12596.318181818182
1,70,12542.0,12542.0,12591.367816091954
1,71,12542.0,12542.0,12586.775280898877
1,72,12542.0,12542.0,12591.589473684211
1,73,12542.0,12542.0,12586.148148148148
1,74,12542.0,12542.0,12590.67857142857
1,75,12542.0,12542.0,12584.279069767443
1,76,12542.0,12542.0,12584.344827586207
1,77,12542.0,12542.0,12589.24705882353
1,78,12542.0,12542.0,12592.775
1,79,12542.0,12542.0,12583.0
1,80,12542.0,12542.0,12587.938271604939
1,81,12542.0,12542.0,12588.146341463415
1,82,12542.0,12542.0,12592.6375
1,83,12542.0,12542.0,12595.246913580248
1,84,12542.0,12542.0,12585.595238095239
1,85,12542.0,12542.0,12589.050632911392
1,86,12542.0,12542.0,12591.37037037037
1,87,12542.0,12542.0,12590.613636363636
1,88,12542.0,12542.0,12585.872093023256
1,89,12542.0,12542.0,12592.180722891566
1,90,12542.0,12542.0,12593.74358974359
1,91,12542.0,12542.0,12587.116883116883
1,92,12542.0,12542.0,12595.418604651162
1,93,12542.0,12542.0,12600.232558139534
1,94,12542.0,12542.0,12607.61797752809
1,95,12542.0,12542.0,12606.505617977527
1,96,12542.0,12542.0,12596.191011235955
1,97,12542.0,12542.0,12594.03409090909
1,98,12542.0,12542.0,12593.157303370786
1,99,12542.0,12542.0,12599.322222222223
1,100,12542.0,12542.0,12599.057471264368
1,101,12542.0,12542.0,12592.011363636364
1,102,12542.0,12542.0,12588.967741935483
1,103,12542.0,12542.0,12593.677777777777
1,104,12542.0,12542.0,12593.882352941177
1,105,12542.0,12542.0,12589.776470588235
1,106,12542.0,12542.0,12585.141176470588
1,107,12542.0,12542.0,12600.17441860465
1,108,12542.0,12542.0,12603.8202247191
1,109,12542.0,12542.0,12586.494117647058
1,110,12542.0,12542.0,12576.164705882353
1,111,12542.0,12542.0,12597.3908045977
1,112,12542.0,12542.0,12592.829545454546
1,113,12542.0,12542.0,12594.188235294117
1,114,12542.0,12542.0,12597.77380952381
1,115,12542.0,12542.0,12593.963855421687
1,116,12542.0,12542.0,12591.793103448275
1,117,12542.0,12542.0,12586.776470588235
1,118,12542.0,12542.0,12600.692307692309
1,119,12542.0,12542.0,12594.253012048193
1,120,12542.0,12542.0,12589.906976744185
1,121,12542.0,12542.0,12583.2125
1,122,12542.0,12542.0,12587.337078651686
1,123,12542.0,12542.0,12591.29411764706
1,124,12542.0,12542.0,12592.270588235295
1,125,12542.0,12542.0,12592.3875
1,126,12542.0,12542.0,12586.227272727272
1,127,12542.0,12542.0,12584.917647058823
1,128,12542.0,12542.0,12593.655555555555
1,129,12542.0,12542.0,12582.57142857143
1,130,12542.0,12542.0,12589.617283950618
1,131,12542.0,12542.0,12582.611111111111
1,132,12542.0,12542.0,12588.775280898877
1,133,12542.0,12542.0,12591.645161290322
1,134,12542.0,12542.0,12584.729411764705
1,135,12542.0,12542.0,12584.134146341463
1,136,12542.0,12542.0,12584.530864197532
1,137,12542.0,12542.0,12590.666666666666
1,138,12542.0,12542.0,12583.92857142857
1,139,12542.0,12542.0,12579.483516483517
1,140,12542.0,12542.0,12588.272727272728
1,141,12542.0,12542.0,12583.4
1,142,12542.0,12542.0,12578.546511627907
1,143,12542.0,12542.0,12585.133333333333
1,144,12542.0,12542.0,12588.65909090909
1,145,12542.0,12542.0,12590.761363636364
1,146,12542.0,12542.0,12585.892857142857
1,147,12542.0,12542.0,12578.976744186046
1,148,12542.0,12542.0,12580.736263736264
1,149,12542.0,12542.0,12582.885057471265
1,150,12542.0,12542.0,12584.155555555555
1,151,12542.0,12542.0,12589.61797752809
1,152,12542.0,12542.0,12583.282352941176
1,153,12542.0,12542.0,12587.977528089888
1,154,12542.0,12542.0,12584.380952380952
1,155,12542.0,12542.0,12582.0
1,156,12542.0,12542.0,12586.058823529413
1,157,12542.0,12542.0,12595.313953488372
1,158,12542.0,12542.0,12591.449438202248
1,159,12542.0,12542.0,12594.770114942528
1,160,12542.0,12542.0,12587.04938271605
1,161,12542.0,12542.0,12585.639534883721
1,162,12542.0,12542.0,12595.03409090909
1,163,12542.0,12542.0,12599.047619047618
1,164,12542.0,12542.0,12596.632183908046
