Instance,Stations(m),RankInBestRun,Fitness,Cycle,StationIndex,StationLoad,StationUtilization(Load/Cycle),TasksSequence
ARC83,12,1,0.000155,6467.0,1,6371,0.9852,1 2 4 5 8
ARC83,12,1,0.000155,6467.0,2,6467,1.0000,3 6 10 13
ARC83,12,1,0.000155,6467.0,3,6401,0.9898,9 7 14 25 12
ARC83,12,1,0.000155,6467.0,4,6433,0.9947,19 24 17 22 18 23 29 21 11
ARC83,12,1,0.000155,6467.0,5,6382,0.9869,27 28 32 36 34 33
ARC83,12,1,0.000155,6467.0,6,6376,0.9859,38 35 37 40 30 31 15 20
ARC83,12,1,0.000155,6467.0,7,6444,0.9964,39 43 44 46 26 41 45 47 49
ARC83,12,1,0.000155,6467.0,8,6458,0.9986,69 70 72 71 73 48 50 51 52
ARC83,12,1,0.000155,6467.0,9,6358,0.9831,53 54 55 56 57 58 59 60 61 62 63
ARC83,12,1,0.000155,6467.0,10,6197,0.9582,64 65 66 67 68 75 74
ARC83,12,1,0.000155,6467.0,11,6379,0.9864,76 16 42 77 78 79 80
ARC83,12,1,0.000155,6467.0,12,5441,0.8413,82 81 83
ARC83,12,2,0.000153,6553.0,1,6371,0.9722,1 2 4 5 8
ARC83,12,2,0.000153,6553.0,2,6510,0.9934,3 6 9
ARC83,12,2,0.000153,6553.0,3,6378,0.9733,12 7 11 10 14 19
ARC83,12,2,0.000153,6553.0,4,6447,0.9838,25 24 13 18 23 17 22 21 27
ARC83,12,2,0.000153,6553.0,5,6546,0.9989,28 29 15 20 32 36 38
ARC83,12,2,0.000153,6553.0,6,6553,1.0000,41 34 35 33 37 40 30 45
ARC83,12,2,0.000153,6553.0,7,6083,0.9283,31 39 44 46 48 43 26 47
ARC83,12,2,0.000153,6553.0,8,6444,0.9834,49 69 71 70 72 73 50 51 52
ARC83,12,2,0.000153,6553.0,9,6358,0.9702,53 54 55 56 57 58 59 60 61 62 63
ARC83,12,2,0.000153,6553.0,10,6197,0.9457,64 65 66 67 68 74 75
