Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
ARC83,12,6467.0,75707,97.56,1,6371,0.9852,1 2 4 5 8
ARC83,12,6467.0,75707,97.56,2,6467,1.0000,3 6 10 13
ARC83,12,6467.0,75707,97.56,3,6401,0.9898,9 7 14 25 12
ARC83,12,6467.0,75707,97.56,4,6433,0.9947,19 24 17 22 18 23 29 21 11
ARC83,12,6467.0,75707,97.56,5,6382,0.9869,27 28 32 36 34 33
ARC83,12,6467.0,75707,97.56,6,6376,0.9859,38 35 37 40 30 31 15 20
ARC83,12,6467.0,75707,97.56,7,6444,0.9964,39 43 44 46 26 41 45 47 49
ARC83,12,6467.0,75707,97.56,8,6458,0.9986,69 70 72 71 73 48 50 51 52
ARC83,12,6467.0,75707,97.56,9,6358,0.9831,53 54 55 56 57 58 59 60 61 62 63
ARC83,12,6467.0,75707,97.56,10,6197,0.9582,64 65 66 67 68 75 74
ARC83,12,6467.0,75707,97.56,11,6379,0.9864,76 16 42 77 78 79 80
ARC83,12,6467.0,75707,97.56,12,5441,0.8413,82 81 83
