Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
BARTHOL2,27,159.0,4234,98.63,1,158,0.9937,2 58 132 33 91 70
BARTHOL2,27,159.0,4234,98.63,2,159,1.0000,56 64 65 141 61 32 93
BARTHOL2,27,159.0,4234,98.63,3,159,1.0000,35 34 94 1 52 60
BARTHOL2,27,159.0,4234,98.63,4,159,1.0000,30 105 119 11
BARTHOL2,27,159.0,4234,98.63,5,155,0.9748,73 96 86 104 66
BARTHOL2,27,159.0,4234,98.63,6,156,0.9811,99 100 142 71
BARTHOL2,27,159.0,4234,98.63,7,158,0.9937,87 12 138 144 62 3
BARTHOL2,27,159.0,4234,98.63,8,157,0.9874,145 147 63 53 6
BARTHOL2,27,159.0,4234,98.63,9,155,0.9748,148 50 51 67
BARTHOL2,27,159.0,4234,98.63,10,158,0.9937,4 9 74 7
BARTHOL2,27,159.0,4234,98.63,11,157,0.9874,8 5 57 92 69 42
BARTHOL2,27,159.0,4234,98.63,12,152,0.9560,79 146 80
BARTHOL2,27,159.0,4234,98.63,13,157,0.9874,81 85 143 43 59 75
BARTHOL2,27,159.0,4234,98.63,14,151,0.9497,44 10 14 97 140
BARTHOL2,27,159.0,4234,98.63,15,156,0.9811,16 13 139 88 68
BARTHOL2,27,159.0,4234,98.63,16,158,0.9937,15 98 95 101 103 17
BARTHOL2,27,159.0,4234,98.63,17,157,0.9874,102 127 18 19 20 21 24
BARTHOL2,27,159.0,4234,98.63,18,155,0.9748,23 22 25 28 26 27 29 31 48 89
BARTHOL2,27,159.0,4234,98.63,19,159,1.0000,36 37 45 46 131
BARTHOL2,27,159.0,4234,98.63,20,154,0.9686,47 49 41 125
BARTHOL2,27,159.0,4234,98.63,21,158,0.9937,38 39 40 54 76
BARTHOL2,27,159.0,4234,98.63,22,156,0.9811,90 72 55 111 112 134
BARTHOL2,27,159.0,4234,98.63,23,158,0.9937,133 135 136 113 115
BARTHOL2,27,159.0,4234,98.63,24,158,0.9937,114 120 121 128 122 129 116
BARTHOL2,27,159.0,4234,98.63,25,158,0.9937,117 123 124 77 78 82 83 84
BARTHOL2,27,159.0,4234,98.63,26,159,1.0000,106 107 108 109
BARTHOL2,27,159.0,4234,98.63,27,157,0.9874,110 118 126 130 137
