Run,Generation,BestSoFar,BestInGeneration,MeanCycle
1,1,145.0,145.0,146.15
1,2,145.0,145.0,146.05434782608697
1,3,145.0,145.0,145.84615384615384
1,4,144.0,144.0,145.74157303370785
1,5,144.0,144.0,145.5934065934066
1,6,144.0,144.0,145.51111111111112
1,7,144.0,144.0,145.40963855421685
1,8,144.0,144.0,145.34883720930233
1,9,144.0,144.0,145.26666666666668
1,10,144.0,144.0,145.35227272727272
1,11,144.0,144.0,145.27380952380952
1,12,144.0,144.0,145.35632183908046
1,13,144.0,144.0,145.17441860465115
1,14,144.0,144.0,145.08333333333334
1,15,144.0,144.0,145.25316455696202
1,16,144.0,144.0,145.2159090909091
1,17,144.0,144.0,145.2921348314607
1,18,144.0,144.0,145.1978021978022
1,19,144.0,144.0,145.16666666666666
1,20,144.0,144.0,145.20454545454547
1,21,144.0,144.0,145.12765957446808
1,22,144.0,144.0,145.13953488372093
1,23,144.0,144.0,145.10344827586206
1,24,144.0,144.0,145.1590909090909
1,25,144.0,144.0,145.13095238095238
1,26,144.0,144.0,145.0
1,27,144.0,144.0,145.1341463414634
1,28,144.0,144.0,144.9879518072289
1,29,144.0,144.0,145.0
1,30,144.0,144.0,145.08695652173913
1,31,144.0,144.0,145.12087912087912
1,32,144.0,144.0,145.12941176470588
1,33,144.0,144.0,145.14285714285714
1,34,144.0,144.0,145.2093023255814
1,35,144.0,144.0,145.32183908045977
1,36,144.0,144.0,145.1264367816092
1,37,144.0,144.0,145.2439024390244
1,38,144.0,144.0,145.3132530120482
1,39,144.0,144.0,145.19277108433735
1,40,144.0,144.0,145.25
1,41,144.0,144.0,145.3132530120482
1,42,144.0,144.0,145.36904761904762
1,43,144.0,144.0,145.22727272727272
1,44,144.0,144.0,145.11494252873564
1,45,144.0,144.0,145.16666666666666
1,46,144.0,144.0,145.0952380952381
1,47,144.0,144.0,145.1860465116279
1,48,144.0,144.0,145.2125
1,49,144.0,144.0,145.14457831325302
1,50,144.0,144.0,144.9878048780488
1,51,144.0,144.0,144.9879518072289
1,52,144.0,144.0,145.05747126436782
1,53,144.0,144.0,144.90588235294118
1,54,144.0,144.0,145.19354838709677
1,55,144.0,144.0,145.01123595505618
1,56,144.0,144.0,145.25
1,57,144.0,144.0,145.17283950617283
1,58,144.0,144.0,145.1494252873563
1,59,144.0,144.0,145.17977528089887
1,60,144.0,144.0,145.06172839506172
1,61,144.0,144.0,145.109756097561
1,62,144.0,144.0,145.0952380952381
1,63,144.0,144.0,145.1860465116279
1,64,144.0,144.0,145.1086956521739
1,65,144.0,144.0,145.30588235294118
1,66,144.0,144.0,145.12359550561797
1,67,144.0,144.0,145.2941176470588
1,68,144.0,144.0,145.15116279069767
1,69,144.0,144.0,145.20731707317074
1,70,144.0,144.0,145.09876543209876
1,71,144.0,144.0,145.23655913978496
1,72,144.0,144.0,145.1195652173913
1,73,144.0,144.0,145.12222222222223
1,74,144.0,144.0,145.06976744186048
1,75,144.0,144.0,145.22222222222223
1,76,144.0,144.0,145.13095238095238
1,77,144.0,144.0,145.2840909090909
1,78,144.0,144.0,145.07608695652175
1,79,144.0,144.0,145.17441860465115
1,80,144.0,144.0,145.26666666666668
1,81,144.0,144.0,145.28048780487805
1,82,144.0,144.0,145.2808988764045
1,83,144.0,144.0,145.1153846153846
1,84,144.0,144.0,145.11627906976744
1,85,144.0,144.0,145.1494252873563
1,86,144.0,144.0,145.14814814814815
1,87,144.0,144.0,145.10227272727272
1,88,144.0,144.0,145.0705882352941
1,89,144.0,144.0,144.88888888888889
1,90,144.0,144.0,144.90804597701148
1,91,144.0,144.0,145.07142857142858
1,92,144.0,144.0,145.0235294117647
1,93,144.0,144.0,144.82142857142858
1,94,144.0,144.0,144.80645161290323
1,95,144.0,144.0,144.9255319148936
1,96,144.0,144.0,144.8658536585366
1,97,144.0,144.0,144.93103448275863
1,98,144.0,144.0,144.86666666666667
1,99,144.0,144.0,144.79787234042553
1,100,144.0,144.0,144.9
1,101,144.0,144.0,144.8876404494382
1,102,144.0,144.0,145.0
1,103,144.0,144.0,144.89583333333334
1,104,144.0,144.0,144.97752808988764
1,105,144.0,144.0,145.12087912087912
1,106,144.0,144.0,145.0108695652174
1,107,144.0,144.0,145.0
1,108,144.0,144.0,144.95402298850576
1,109,144.0,144.0,144.89772727272728
1,110,144.0,144.0,145.0326086956522
1,111,144.0,144.0,145.17283950617283
1,112,144.0,144.0,145.15
1,113,144.0,144.0,144.98888888888888
1,114,144.0,144.0,144.92857142857142
1,115,144.0,144.0,144.67088607594937
1,116,144.0,144.0,144.78571428571428
1,117,144.0,144.0,144.98850574712642
1,118,144.0,144.0,144.86746987951807
1,119,144.0,144.0,144.82758620689654
1,120,144.0,144.0,144.91666666666666
1,121,144.0,144.0,144.95454545454547
1,122,144.0,144.0,145.0
1,123,144.0,144.0,145.03488372093022
1,124,144.0,144.0,145.11111111111111
1,125,144.0,144.0,145.0909090909091
1,126,144.0,144.0,144.9777777777778
1,127,144.0,144.0,145.0
1,128,144.0,144.0,145.26666666666668
1,129,144.0,144.0,144.95604395604394
1,130,144.0,144.0,144.97701149425288
1,131,144.0,144.0,144.9047619047619
1,132,144.0,144.0,144.82716049382717
1,133,144.0,144.0,145.01162790697674
1,134,144.0,144.0,145.12359550561797
1,135,144.0,144.0,144.9655172413793
1,136,144.0,144.0,145.04494382022472
1,137,144.0,144.0,144.93617021276594
1,138,144.0,144.0,144.83695652173913
1,139,144.0,144.0,144.97826086956522
1,140,144.0,144.0,145.0744680851064
1,141,144.0,144.0,145.04494382022472
1,142,144.0,144.0,144.87058823529412
1,143,144.0,144.0,144.8876404494382
1,144,144.0,144.0,145.11827956989248
1,145,144.0,144.0,145.0568181818182
1,146,144.0,144.0,145.01136363636363
1,147,144.0,144.0,145.0
1,148,144.0,144.0,144.93478260869566
1,149,144.0,144.0,145.06666666666666
1,150,144.0,144.0,145.07954545454547
1,151,144.0,144.0,145.15217391304347
1,152,144.0,144.0,145.07865168539325
1,153,144.0,144.0,144.9873417721519
1,154,144.0,144.0,145.02298850574712
1,155,144.0,144.0,145.09302325581396
1,156,144.0,144.0,144.97590361445782
1,157,144.0,144.0,144.90243902439025
1,158,144.0,144.0,144.96470588235294
1,159,144.0,144.0,145.04597701149424
1,160,144.0,144.0,144.87912087912088
1,161,144.0,144.0,144.8068181818182
1,162,144.0,144.0,144.8314606741573
1,163,144.0,144.0,144.8641975308642
1,164,144.0,144.0,144.77215189873417
1,165,144.0,144.0,144.9875
1,166,144.0,144.0,144.97701149425288
1,167,144.0,144.0,144.89361702127658
1,168,144.0,144.0,144.85227272727272
1,169,144.0,144.0,145.01162790697674
1,170,144.0,144.0,145.06593406593407
1,171,144.0,144.0,145.03488372093022
1,172,144.0,144.0,144.97752808988764
1,173,144.0,144.0,145.07865168539325
1,174,144.0,144.0,145.17777777777778
1,175,144.0,144.0,145.05194805194805
1,176,144.0,144.0,144.96511627906978
1,177,144.0,144.0,145.0888888888889
1,178,144.0,144.0,145.13953488372093
1,179,144.0,144.0,145.13095238095238
1,180,144.0,144.0,145.14285714285714
1,181,144.0,144.0,145.03370786516854
1,182,144.0,144.0,145.14736842105262
1,183,144.0,144.0,145.13483146067415
1,184,144.0,144.0,145.09411764705882
1,185,144.0,144.0,145.18085106382978
1,186,144.0,144.0,145.14285714285714
1,187,144.0,144.0,144.98876404494382
1,188,144.0,144.0,145.17241379310346
1,189,144.0,144.0,145.02298850574712
1,190,144.0,144.0,144.95294117647057
1,191,144.0,144.0,144.9878048780488
1,192,144.0,144.0,144.93478260869566
1,193,144.0,144.0,145.06172839506172
1,194,144.0,144.0,144.9655172413793
1,195,144.0,144.0,145.07865168539325
1,196,144.0,144.0,144.90243902439025
1,197,144.0,144.0,145.01176470588234
1,198,144.0,144.0,145.08695652173913
1,199,144.0,144.0,145.04761904761904
1,200,144.0,144.0,145.0
1,201,144.0,144.0,144.91011235955057
1,202,144.0,144.0,144.9
1,203,144.0,144.0,144.9506172839506
1,204,144.0,144.0,145.0344827586207
1,205,144.0,144.0,145.01136363636363
1,206,144.0,144.0,144.96666666666667
1,207,144.0,144.0,144.9659090909091
1,208,144.0,144.0,145.02325581395348
1,209,144.0,144.0,144.9777777777778
1,210,144.0,144.0,144.98876404494382
1,211,144.0,144.0,145.0
1,212,144.0,144.0,144.9784946236559
1,213,144.0,144.0,144.8426966292135
1,214,144.0,144.0,144.98876404494382
1,215,144.0,144.0,144.98863636363637
1,216,144.0,144.0,144.8235294117647
1,217,144.0,144.0,144.70454545454547
1,218,144.0,144.0,144.7340425531915
1,219,144.0,144.0,144.9120879120879
1,220,144.0,144.0,144.89772727272728
1,221,144.0,144.0,144.88505747126436
1,222,144.0,144.0,144.9090909090909
1,223,144.0,144.0,144.85393258426967
1,224,144.0,144.0,144.6888888888889
1,225,144.0,144.0,144.816091954023
1,226,144.0,144.0,144.71264367816093
1,227,144.0,144.0,144.9
1,228,144.0,144.0,144.86813186813185
1,229,144.0,144.0,144.95348837209303
1,230,144.0,144.0,144.79545454545453
1,231,144.0,144.0,144.68965517241378
1,232,144.0,144.0,144.6627906976744
1,233,144.0,144.0,144.75862068965517
1,234,144.0,144.0,144.75280898876406
1,235,144.0,144.0,144.7888888888889
1,236,144.0,144.0,144.82222222222222
1,237,144.0,144.0,144.8068181818182
1,238,144.0,144.0,144.7325581395349
1,239,144.0,144.0,144.7
1,240,144.0,144.0,144.82417582417582
1,241,144.0,144.0,144.6829268292683
1,242,144.0,144.0,144.73417721518987
1,243,144.0,144.0,144.8131868131868
1,244,144.0,144.0,144.91304347826087
1,245,144.0,144.0,144.9255319148936
1,246,144.0,144.0,144.86206896551724
1,247,144.0,144.0,144.8470588235294
1,248,144.0,144.0,144.88505747126436
1,249,144.0,144.0,144.74418604651163
1,250,144.0,144.0,144.7173913043478
2,1,145.0,145.0,146.2
2,2,145.0,145.0,145.91489361702128
2,3,145.0,145.0,145.8021978021978
2,4,144.0,144.0,145.83516483516485
2,5,144.0,144.0,145.73563218390805
2,6,144.0,144.0,145.75
2,7,144.0,144.0,145.57647058823528
2,8,144.0,144.0,145.54545454545453
2,9,144.0,144.0,145.55208333333334
2,10,144.0,144.0,145.48314606741573
2,11,144.0,144.0,145.375
2,12,144.0,144.0,145.367816091954
2,13,144.0,144.0,145.36046511627907
2,14,144.0,144.0,145.3139534883721
2,15,144.0,144.0,145.3932584269663
2,16,144.0,144.0,145.3125
2,17,144.0,144.0,145.28235294117647
2,18,144.0,144.0,145.3132530120482
2,19,144.0,144.0,145.23076923076923
2,20,144.0,144.0,145.10843373493975
2,21,144.0,144.0,145.0705882352941
2,22,144.0,144.0,145.23076923076923
2,23,144.0,144.0,145.21505376344086
2,24,144.0,144.0,145.1720430107527
2,25,144.0,144.0,145.0581395348837
2,26,144.0,144.0,145.1685393258427
2,27,144.0,144.0,145.37209302325581
2,28,144.0,144.0,145.3586956521739
2,29,144.0,144.0,145.25316455696202
2,30,144.0,144.0,145.07407407407408
2,31,144.0,144.0,145.1604938271605
2,32,144.0,144.0,145.14772727272728
2,33,144.0,144.0,145.11627906976744
2,34,144.0,144.0,145.15
