Instance,Stations(m),RankInBestRun,Fitness,Cycle,StationIndex,StationLoad,StationUtilization(Load/Cycle),TasksSequence
BARTHOLD,12,1,0.002128,470.0,1,469,0.9979,144 138 139 93 30 64 65 99 33 52 1 32 34 70
BARTHOLD,12,1,0.002128,470.0,2,470,1.0000,42 43 2 3 6 7 145 91 105 11 12
BARTHOLD,12,1,0.002128,470.0,3,469,0.9979,94 50 51 13 141 142 140 61
BARTHOLD,12,1,0.002128,470.0,4,470,1.0000,147 100 35 71 62 63 44 66 67 68 98 59 48
BARTHOLD,12,1,0.002128,470.0,5,468,0.9957,4 8 10 92 119 5 9 69 146 143 56 95
BARTHOLD,12,1,0.002128,470.0,6,470,1.0000,79 73 80 81 85 58 88 86
BARTHOLD,12,1,0.002128,470.0,7,470,1.0000,87 53 148 14 16 15 17 19 18 20 21 24 23 22
BARTHOLD,12,1,0.002128,470.0,8,468,0.9957,25 27 26 28 29 74 75 97 31 36 37 45 41 46 89
BARTHOLD,12,1,0.002128,470.0,9,470,1.0000,38 39 40 47 49 54 55 133 90 76 77 72 132 78 134 135 57
BARTHOLD,12,1,0.002128,470.0,10,470,1.0000,136 111 112 113 120 116 114 96 104 101 103 82
BARTHOLD,12,1,0.002128,470.0,11,470,1.0000,102 127 123 121 122 117 118 126 83 84 106 107 110 128 129 130 131 137 60
BARTHOLD,12,1,0.002128,470.0,12,470,1.0000,108 109 115 124 125
BARTHOLD,12,2,0.002128,470.0,1,469,0.9979,144 138 139 30 64 65 99 33 52 1 32 34 93 70
BARTHOLD,12,2,0.002128,470.0,2,470,1.0000,42 43 2 3 6 7 145 91 105 11 12
BARTHOLD,12,2,0.002128,470.0,3,469,0.9979,94 50 51 13 141 142 140 61
BARTHOLD,12,2,0.002128,470.0,4,469,0.9979,147 100 35 71 44 66 4 8 62 63
BARTHOLD,12,2,0.002128,470.0,5,469,0.9979,67 68 98 10 92 119 5 9 59 69 146 143 56 95 48
BARTHOLD,12,2,0.002128,470.0,6,470,1.0000,79 73 80 81 85 58 88 86
BARTHOLD,12,2,0.002128,470.0,7,470,1.0000,87 53 148 14 16 15 17 19 18 20 21 24 23 22
BARTHOLD,12,2,0.002128,470.0,8,468,0.9957,25 27 26 28 29 74 75 97 31 36 37 45 41 46 89
BARTHOLD,12,2,0.002128,470.0,9,470,1.0000,38 39 40 47 49 54 55 133 90 76 77 72 132 78 134 135 57
BARTHOLD,12,2,0.002128,470.0,10,470,1.0000,136 111 112 113 120 116 114 96 104 101 103 82
BARTHOLD,12,2,0.002128,470.0,11,470,1.0000,102 127 123 121 122 117 118 126 83 84 106 107 110 128 129 130 131 137 60
BARTHOLD,12,2,0.002128,470.0,12,470,1.0000,108 109 115 124 125
BARTHOLD,12,3,0.002128,470.0,1,469,0.9979,144 138 139 93 30 64 65 99 33 52 1 32 34 70
BARTHOLD,12,3,0.002128,470.0,2,470,1.0000,42 43 2 3 6 7 145 91 105 11 12
BARTHOLD,12,3,0.002128,470.0,3,469,0.9979,94 50 51 13 141 142 140 61
BARTHOLD,12,3,0.002128,470.0,4,470,1.0000,147 100 35 71 62 63 44 66 67 68 98 59 48
BARTHOLD,12,3,0.002128,470.0,5,468,0.9957,4 8 10 92 119 5 9 69 146 143 56 95
