Run,Generation,BestSoFar,BestInGeneration,MeanCycle
1,1,472.0,472.0,474.19
1,2,472.0,472.0,473.6559139784946
1,3,472.0,472.0,473.70212765957444
1,4,472.0,472.0,473.42857142857144
1,5,471.0,471.0,473.39325842696627
1,6,471.0,471.0,473.1666666666667
1,7,471.0,471.0,472.91764705882355
1,8,471.0,471.0,472.70454545454544
1,9,471.0,471.0,472.91011235955057
1,10,471.0,471.0,472.8068181818182
1,11,471.0,471.0,472.82022471910113
1,12,471.0,471.0,473.03333333333336
1,13,471.0,471.0,472.8068181818182
1,14,471.0,471.0,472.7613636363636
1,15,471.0,471.0,472.68831168831167
1,16,471.0,471.0,472.84615384615387
1,17,471.0,471.0,472.7977528089888
1,18,471.0,471.0,472.5217391304348
1,19,471.0,471.0,472.5056179775281
1,20,471.0,471.0,472.5113636363636
1,21,471.0,471.0,472.48192771084337
1,22,471.0,471.0,472.40697674418607
1,23,471.0,471.0,472.49397590361446
1,24,471.0,471.0,472.6707317073171
1,25,471.0,471.0,472.45882352941175
1,26,471.0,471.0,472.54651162790697
1,27,471.0,471.0,472.4875
1,28,471.0,471.0,472.30864197530866
1,29,471.0,471.0,472.367816091954
1,30,471.0,471.0,472.39772727272725
1,31,471.0,471.0,472.3863636363636
1,32,471.0,471.0,472.19767441860466
1,33,471.0,471.0,472.3181818181818
1,34,471.0,471.0,472.4938271604938
1,35,471.0,471.0,472.4268292682927
1,36,471.0,471.0,472.2470588235294
1,37,471.0,471.0,472.3875
1,38,471.0,471.0,472.3222222222222
1,39,471.0,471.0,472.3777777777778
1,40,471.0,471.0,472.44444444444446
1,41,471.0,471.0,472.35714285714283
1,42,471.0,471.0,472.32142857142856
1,43,471.0,471.0,472.45454545454544
1,44,471.0,471.0,472.3863636363636
1,45,471.0,471.0,472.4269662921348
1,46,471.0,471.0,472.219512195122
1,47,471.0,471.0,472.23809523809524
1,48,471.0,471.0,472.3703703703704
1,49,471.0,471.0,472.390243902439
1,50,471.0,471.0,472.22222222222223
1,51,471.0,471.0,472.31325301204816
1,52,471.0,471.0,472.4761904761905
1,53,471.0,471.0,472.3448275862069
1,54,471.0,471.0,472.8021978021978
1,55,471.0,471.0,472.5764705882353
1,56,471.0,471.0,472.55
1,57,471.0,471.0,472.5
1,58,471.0,471.0,472.55555555555554
1,59,471.0,471.0,472.5168539325843
1,60,471.0,471.0,472.3048780487805
1,61,471.0,471.0,472.25925925925924
1,62,471.0,471.0,472.25882352941176
1,63,471.0,471.0,472.48192771084337
1,64,471.0,471.0,472.41379310344826
1,65,471.0,471.0,472.4074074074074
1,66,471.0,471.0,472.42528735632186
1,67,471.0,471.0,472.6625
1,68,471.0,471.0,472.7176470588235
1,69,471.0,471.0,472.6375
1,70,471.0,471.0,472.5974025974026
1,71,471.0,471.0,472.5113636363636
1,72,471.0,471.0,472.77777777777777
1,73,471.0,471.0,472.5111111111111
1,74,471.0,471.0,472.6235294117647
1,75,471.0,471.0,472.8988764044944
1,76,471.0,471.0,472.65
1,77,471.0,471.0,472.7142857142857
1,78,471.0,471.0,472.6470588235294
1,79,471.0,471.0,472.68674698795184
1,80,471.0,471.0,472.6179775280899
1,81,471.0,471.0,472.5432098765432
1,82,471.0,471.0,472.9642857142857
1,83,471.0,471.0,472.65432098765433
1,84,471.0,471.0,472.6
1,85,471.0,471.0,472.82608695652175
1,86,471.0,471.0,472.64285714285717
1,87,471.0,471.0,472.4712643678161
1,88,471.0,471.0,472.4166666666667
1,89,471.0,471.0,472.3666666666667
1,90,471.0,471.0,472.6666666666667
1,91,471.0,471.0,472.625
1,92,471.0,471.0,472.64772727272725
1,93,471.0,471.0,472.45348837209303
1,94,471.0,471.0,472.71590909090907
1,95,471.0,471.0,472.85227272727275
1,96,471.0,471.0,472.6219512195122
1,97,471.0,471.0,472.6
1,98,471.0,471.0,472.625
1,99,471.0,471.0,472.625
1,100,471.0,471.0,472.76190476190476
1,101,471.0,471.0,472.4698795180723
1,102,471.0,471.0,472.72527472527474
1,103,471.0,471.0,472.5164835164835
1,104,471.0,471.0,472.8695652173913
1,105,471.0,471.0,472.89130434782606
1,106,471.0,471.0,472.8333333333333
1,107,471.0,471.0,472.68888888888887
1,108,471.0,471.0,472.7586206896552
1,109,471.0,471.0,472.73333333333335
1,110,471.0,471.0,472.78409090909093
1,111,471.0,471.0,472.6829268292683
1,112,471.0,471.0,472.80232558139534
1,113,471.0,471.0,472.8241758241758
1,114,471.0,471.0,472.63953488372096
1,115,471.0,471.0,472.3734939759036
1,116,471.0,471.0,472.4719101123595
1,117,471.0,471.0,472.81176470588235
1,118,471.0,471.0,472.6875
1,119,471.0,471.0,472.4146341463415
1,120,471.0,471.0,472.4634146341463
1,121,471.0,471.0,472.7
1,122,471.0,471.0,472.78409090909093
1,123,471.0,471.0,472.7586206896552
1,124,471.0,471.0,472.6470588235294
1,125,471.0,471.0,472.6470588235294
1,126,471.0,471.0,472.29761904761904
1,127,471.0,471.0,472.44943820224717
1,128,471.0,471.0,472.86516853932585
1,129,471.0,471.0,472.57954545454544
1,130,471.0,471.0,472.63953488372096
1,131,471.0,471.0,472.4047619047619
1,132,471.0,471.0,472.4
1,133,471.0,471.0,472.8488372093023
1,134,471.0,471.0,472.632183908046
1,135,471.0,471.0,472.58620689655174
1,136,471.0,471.0,472.77272727272725
1,137,471.0,471.0,472.7473684210526
1,138,471.0,471.0,472.6276595744681
1,139,471.0,471.0,472.8021978021978
1,140,471.0,471.0,472.9263157894737
1,141,471.0,471.0,472.7011494252874
1,142,471.0,471.0,472.60714285714283
1,143,471.0,471.0,472.64044943820227
1,144,471.0,471.0,472.4
1,145,471.0,471.0,472.4767441860465
1,146,471.0,471.0,472.45054945054943
1,147,471.0,471.0,472.3695652173913
1,148,471.0,471.0,472.4347826086956
1,149,471.0,471.0,472.5444444444444
1,150,471.0,471.0,472.7032967032967
1,151,471.0,471.0,472.47777777777776
1,152,471.0,471.0,472.40697674418607
1,153,471.0,471.0,472.30864197530866
1,154,471.0,471.0,472.3333333333333
1,155,471.0,471.0,472.3488372093023
1,156,471.0,471.0,472.3614457831325
1,157,471.0,471.0,472.3333333333333
1,158,471.0,471.0,472.45238095238096
1,159,471.0,471.0,472.5529411764706
1,160,471.0,471.0,472.54347826086956
1,161,471.0,471.0,472.4404761904762
1,162,471.0,471.0,472.57954545454544
1,163,471.0,471.0,472.5365853658537
1,164,471.0,471.0,472.2077922077922
1,165,471.0,471.0,472.55696202531647
1,166,471.0,471.0,472.5176470588235
1,167,471.0,471.0,472.5217391304348
1,168,471.0,471.0,472.34831460674155
1,169,471.0,471.0,472.28735632183907
1,170,471.0,471.0,472.4065934065934
1,171,471.0,471.0,472.3181818181818
1,172,471.0,471.0,472.39325842696627
1,173,471.0,471.0,472.6629213483146
1,174,471.0,471.0,472.64044943820227
1,175,471.0,471.0,472.3766233766234
1,176,471.0,471.0,472.6511627906977
1,177,471.0,471.0,472.86516853932585
1,178,471.0,471.0,472.60919540229884
1,179,471.0,471.0,472.5882352941176
1,180,471.0,471.0,472.4761904761905
1,181,471.0,471.0,472.75
1,182,471.0,471.0,472.3804347826087
1,183,471.0,471.0,472.32941176470587
1,184,471.0,471.0,472.2962962962963
1,185,471.0,471.0,472.4725274725275
1,186,471.0,471.0,472.54117647058825
1,187,471.0,471.0,472.3764705882353
1,188,471.0,471.0,472.40697674418607
1,189,471.0,471.0,472.1744186046512
1,190,471.0,471.0,472.19767441860466
1,191,471.0,471.0,472.10714285714283
1,192,471.0,471.0,472.2022471910112
1,193,471.0,471.0,472.15
1,194,471.0,471.0,472.3690476190476
1,195,471.0,471.0,472.3888888888889
1,196,471.0,471.0,472.2439024390244
1,197,471.0,471.0,472.55056179775283
1,198,471.0,471.0,472.6043956043956
1,199,471.0,471.0,472.3975903614458
1,200,471.0,471.0,472.50602409638554
1,201,471.0,471.0,472.4157303370786
1,202,471.0,471.0,472.53846153846155
1,203,471.0,471.0,472.4767441860465
1,204,471.0,471.0,472.4943820224719
1,205,471.0,471.0,472.5
1,206,471.0,471.0,472.632183908046
1,207,471.0,471.0,472.5348837209302
1,208,471.0,471.0,472.4767441860465
1,209,471.0,471.0,472.80232558139534
1,210,471.0,471.0,472.6703296703297
1,211,471.0,471.0,472.6144578313253
1,212,471.0,471.0,472.5111111111111
1,213,471.0,471.0,472.5
1,214,471.0,471.0,472.56470588235294
1,215,471.0,471.0,472.64367816091954
1,216,471.0,471.0,472.3095238095238
1,217,471.0,471.0,472.4186046511628
1,218,471.0,471.0,472.54945054945057
1,219,471.0,471.0,472.54347826086956
1,220,471.0,471.0,472.5357142857143
1,221,471.0,471.0,472.46590909090907
1,222,471.0,471.0,472.60227272727275
1,223,471.0,471.0,472.6222222222222
1,224,471.0,471.0,472.6629213483146
1,225,471.0,471.0,472.5542168674699
1,226,471.0,471.0,472.4268292682927
1,227,471.0,471.0,472.3452380952381
1,228,471.0,471.0,472.53846153846155
1,229,471.0,471.0,472.8965517241379
1,230,471.0,471.0,472.6744186046512
1,231,471.0,471.0,472.7176470588235
1,232,471.0,471.0,472.58620689655174
1,233,471.0,471.0,472.77777777777777
1,234,471.0,471.0,472.97727272727275
1,235,471.0,471.0,472.94505494505495
1,236,471.0,471.0,473.17391304347825
1,237,471.0,471.0,473.0232558139535
1,238,471.0,471.0,472.7586206896552
1,239,471.0,471.0,472.9111111111111
1,240,471.0,471.0,472.90909090909093
1,241,471.0,471.0,472.64935064935065
1,242,471.0,471.0,472.70512820512823
1,243,471.0,471.0,472.5568181818182
1,244,471.0,471.0,472.55555555555554
1,245,471.0,471.0,472.89473684210526
1,246,471.0,471.0,472.65909090909093
1,247,471.0,471.0,472.5952380952381
1,248,471.0,471.0,472.7303370786517
1,249,471.0,471.0,472.67857142857144
1,250,471.0,471.0,472.64130434782606
2,1,471.0,471.0,473.92
2,2,471.0,471.0,473.4673913043478
2,3,471.0,471.0,473.2823529411765
2,4,471.0,471.0,473.109756097561
2,5,471.0,471.0,472.83529411764704
2,6,471.0,471.0,472.7831325301205
2,7,471.0,471.0,472.70238095238096
2,8,471.0,471.0,472.59090909090907
2,9,471.0,471.0,472.4623655913978
2,10,471.0,471.0,472.5217391304348
2,11,471.0,471.0,472.4021739130435
2,12,471.0,471.0,472.5
2,13,471.0,471.0,472.62068965517244
2,14,471.0,471.0,472.4823529411765
2,15,471.0,471.0,472.61176470588236
2,16,471.0,471.0,472.45454545454544
2,17,471.0,471.0,472.6144578313253
2,18,471.0,471.0,472.5487804878049
2,19,471.0,471.0,472.34831460674155
2,20,471.0,471.0,472.27710843373495
2,21,471.0,471.0,472.5125
2,22,471.0,471.0,472.3953488372093
2,23,471.0,471.0,472.4782608695652
2,24,471.0,471.0,472.3296703296703
2,25,471.0,471.0,472.5287356321839
2,26,471.0,471.0,472.45238095238096
2,27,471.0,471.0,472.3448275862069
2,28,471.0,471.0,472.4175824175824
2,29,471.0,471.0,472.43037974683546
2,30,471.0,471.0,472.3125
2,31,471.0,471.0,472.2857142857143
2,32,471.0,471.0,472.16279069767444
2,33,471.0,471.0,472.32142857142856
2,34,471.0,471.0,472.39506172839504
2,35,471.0,471.0,472.3809523809524
2,36,471.0,471.0,472.5308641975309
2,37,471.0,471.0,472.3333333333333
2,38,471.0,471.0,472.2705882352941
2,39,471.0,471.0,472.1034482758621
2,40,471.0,471.0,472.45348837209303
2,41,471.0,471.0,472.4096385542169
2,42,471.0,471.0,472.2857142857143
2,43,471.0,471.0,472.17241379310343
2,44,471.0,471.0,472.39325842696627
2,45,471.0,471.0,472.53846153846155
2,46,471.0,471.0,472.3085106382979
2,47,471.0,471.0,472.53846153846155
2,48,471.0,471.0,472.39285714285717
2,49,471.0,471.0,472.5568181818182
2,50,471.0,471.0,472.4782608695652
2,51,471.0,471.0,472.4367816091954
2,52,471.0,471.0,472.48275862068965
2,53,471.0,471.0,472.4096385542169
2,54,471.0,471.0,472.264367816092
2,55,471.0,471.0,472.52941176470586
2,56,471.0,471.0,472.3333333333333
2,57,471.0,471.0,472.54117647058825
2,58,471.0,471.0,472.3837209302326
2,59,471.0,471.0,472.4943820224719
2,60,471.0,471.0,472.2705882352941
2,61,471.0,471.0,472.23809523809524
2,62,471.0,471.0,472.39772727272725
2,63,471.0,471.0,472.60227272727275
2,64,471.0,471.0,472.45454545454544
2,65,471.0,471.0,472.5432098765432
2,66,471.0,471.0,472.3658536585366
2,67,471.0,471.0,472.54430379746833
2,68,471.0,471.0,472.5
