Instance,Stations(m),RankInBestRun,Fitness,Cycle,StationIndex,StationLoad,StationUtilization(Load/Cycle),TasksSequence
GUNTHER,12,1,0.022727,44.0,1,44,1.0000,17 1 5 2 29 34
GUNTHER,12,1,0.022727,44.0,2,44,1.0000,12 6
GUNTHER,12,1,0.022727,44.0,3,44,1.0000,10 7 3 8 18
GUNTHER,12,1,0.022727,44.0,4,44,1.0000,9 4
GUNTHER,12,1,0.022727,44.0,5,44,1.0000,13 14 15
GUNTHER,12,1,0.022727,44.0,6,44,1.0000,11 19 35
GUNTHER,12,1,0.022727,44.0,7,29,0.6591,16
GUNTHER,12,1,0.022727,44.0,8,40,0.9091,20 21 25
GUNTHER,12,1,0.022727,44.0,9,42,0.9545,22 26 23 30 31 32
GUNTHER,12,1,0.022727,44.0,10,28,0.6364,24 27
GUNTHER,12,1,0.022727,44.0,11,40,0.9091,28
GUNTHER,12,1,0.022727,44.0,12,40,0.9091,33
GUNTHER,12,2,0.022727,44.0,1,44,1.0000,17 1 2 5 34 29
GUNTHER,12,2,0.022727,44.0,2,44,1.0000,10 6
GUNTHER,12,2,0.022727,44.0,3,44,1.0000,12 8 7 14 3
GUNTHER,12,2,0.022727,44.0,4,44,1.0000,4 9
GUNTHER,12,2,0.022727,44.0,5,44,1.0000,11 18 15
GUNTHER,12,2,0.022727,44.0,6,44,1.0000,13 19 35
GUNTHER,12,2,0.022727,44.0,7,29,0.6591,16
GUNTHER,12,2,0.022727,44.0,8,40,0.9091,20 21 25
GUNTHER,12,2,0.022727,44.0,9,42,0.9545,22 26 23 30 31 32
GUNTHER,12,2,0.022727,44.0,10,28,0.6364,24 27
GUNTHER,12,2,0.022727,44.0,11,40,0.9091,28
GUNTHER,12,2,0.022727,44.0,12,40,0.9091,33
GUNTHER,12,3,0.022727,44.0,1,44,1.0000,17 1 5 2 29 34
GUNTHER,12,3,0.022727,44.0,2,44,1.0000,12 6
GUNTHER,12,3,0.022727,44.0,3,44,1.0000,10 7 3 8 18
GUNTHER,12,3,0.022727,44.0,4,44,1.0000,9 4
GUNTHER,12,3,0.022727,44.0,5,44,1.0000,13 14 15
GUNTHER,12,3,0.022727,44.0,6,44,1.0000,11 19 35
GUNTHER,12,3,0.022727,44.0,7,29,0.6591,16
GUNTHER,12,3,0.022727,44.0,8,40,0.9091,20 21 25
GUNTHER,12,3,0.022727,44.0,9,42,0.9545,22 26 23 30 31 32
GUNTHER,12,3,0.022727,44.0,10,28,0.6364,24 27
GUNTHER,12,3,0.022727,44.0,11,40,0.9091,28
GUNTHER,12,3,0.022727,44.0,12,40,0.9091,33
GUNTHER,12,4,0.022727,44.0,1,44,1.0000,1 2 17 5 34 29
GUNTHER,12,4,0.022727,44.0,2,44,1.0000,12 6
GUNTHER,12,4,0.022727,44.0,3,44,1.0000,8 10 3 7 14
GUNTHER,12,4,0.022727,44.0,4,43,0.9773,4 15 18
GUNTHER,12,4,0.022727,44.0,5,44,1.0000,11 19 35
GUNTHER,12,4,0.022727,44.0,6,29,0.6591,16
GUNTHER,12,4,0.022727,44.0,7,40,0.9091,20 21 25
GUNTHER,12,4,0.022727,44.0,8,43,0.9773,22 30 31 32 9
GUNTHER,12,4,0.022727,44.0,9,44,1.0000,13 26 23
GUNTHER,12,4,0.022727,44.0,10,28,0.6364,24 27
GUNTHER,12,4,0.022727,44.0,11,40,0.9091,28
GUNTHER,12,4,0.022727,44.0,12,40,0.9091,33
GUNTHER,12,5,0.022727,44.0,1,44,1.0000,17 1 2 5 29 34
GUNTHER,12,5,0.022727,44.0,2,44,1.0000,12 6
GUNTHER,12,5,0.022727,44.0,3,44,1.0000,10 7 8 3 18
GUNTHER,12,5,0.022727,44.0,4,44,1.0000,4 9
GUNTHER,12,5,0.022727,44.0,5,44,1.0000,13 19 14
GUNTHER,12,5,0.022727,44.0,6,31,0.7045,20 35
GUNTHER,12,5,0.022727,44.0,7,42,0.9545,15 11
GUNTHER,12,5,0.022727,44.0,8,40,0.9091,16 21 30
GUNTHER,12,5,0.022727,44.0,9,42,0.9545,25 22 23 26 31 32
GUNTHER,12,5,0.022727,44.0,10,28,0.6364,24 27
GUNTHER,12,5,0.022727,44.0,11,40,0.9091,28
GUNTHER,12,5,0.022727,44.0,12,40,0.9091,33
GUNTHER,12,6,0.022727,44.0,1,44,1.0000,17 1 5 2 34 35
GUNTHER,12,6,0.022727,44.0,2,44,1.0000,12 6
GUNTHER,12,6,0.022727,44.0,3,44,1.0000,8 10 3 7 18
GUNTHER,12,6,0.022727,44.0,4,43,0.9773,4 14 15
GUNTHER,12,6,0.022727,44.0,5,31,0.7045,16 29
GUNTHER,12,6,0.022727,44.0,6,42,0.9545,11 19
GUNTHER,12,6,0.022727,44.0,7,40,0.9091,20 21 25
GUNTHER,12,6,0.022727,44.0,8,43,0.9773,22 30 31 9 32
GUNTHER,12,6,0.022727,44.0,9,44,1.0000,13 26 23
GUNTHER,12,6,0.022727,44.0,10,28,0.6364,24 27
GUNTHER,12,6,0.022727,44.0,11,40,0.9091,28
GUNTHER,12,6,0.022727,44.0,12,40,0.9091,33
GUNTHER,12,7,0.022727,44.0,1,44,1.0000,17 1 5 2 29 34
GUNTHER,12,7,0.022727,44.0,2,44,1.0000,10 6
GUNTHER,12,7,0.022727,44.0,3,44,1.0000,12 3 7 8 18
GUNTHER,12,7,0.022727,44.0,4,44,1.0000,9 4
GUNTHER,12,7,0.022727,44.0,5,44,1.0000,13 19 14
GUNTHER,12,7,0.022727,44.0,6,44,1.0000,11 15 35
GUNTHER,12,7,0.022727,44.0,7,29,0.6591,16
GUNTHER,12,7,0.022727,44.0,8,40,0.9091,20 21 25
GUNTHER,12,7,0.022727,44.0,9,42,0.9545,22 26 23 30 31 32
GUNTHER,12,7,0.022727,44.0,10,28,0.6364,24 27
GUNTHER,12,7,0.022727,44.0,11,40,0.9091,28
GUNTHER,12,7,0.022727,44.0,12,40,0.9091,33
GUNTHER,12,8,0.022727,44.0,1,44,1.0000,17 1 5 2 34 29
GUNTHER,12,8,0.022727,44.0,2,44,1.0000,12 6
GUNTHER,12,8,0.022727,44.0,3,43,0.9773,7 18 10 14 3 35
GUNTHER,12,8,0.022727,44.0,4,41,0.9318,4 15
GUNTHER,12,8,0.022727,44.0,5,34,0.7727,16 8
GUNTHER,12,8,0.022727,44.0,6,42,0.9545,11 19
GUNTHER,12,8,0.022727,44.0,7,40,0.9091,20 21 25
GUNTHER,12,8,0.022727,44.0,8,43,0.9773,22 30 31 32 9
GUNTHER,12,8,0.022727,44.0,9,44,1.0000,13 26 23
GUNTHER,12,8,0.022727,44.0,10,28,0.6364,24 27
GUNTHER,12,8,0.022727,44.0,11,40,0.9091,28
GUNTHER,12,8,0.022727,44.0,12,40,0.9091,33
GUNTHER,12,9,0.022727,44.0,1,44,1.0000,17 1 5 2 34 29
GUNTHER,12,9,0.022727,44.0,2,44,1.0000,6 12
GUNTHER,12,9,0.022727,44.0,3,44,1.0000,10 8 3 7 18
GUNTHER,12,9,0.022727,44.0,4,44,1.0000,4 9
GUNTHER,12,9,0.022727,44.0,5,44,1.0000,11 14 15
GUNTHER,12,9,0.022727,44.0,6,44,1.0000,13 19 35
GUNTHER,12,9,0.022727,44.0,7,29,0.6591,20
GUNTHER,12,9,0.022727,44.0,8,40,0.9091,16 21 25
GUNTHER,12,9,0.022727,44.0,9,42,0.9545,22 23 30 31 32 26
GUNTHER,12,9,0.022727,44.0,10,28,0.6364,24 27
GUNTHER,12,9,0.022727,44.0,11,40,0.9091,33
GUNTHER,12,9,0.022727,44.0,12,40,0.9091,28
GUNTHER,12,10,0.022727,44.0,1,44,1.0000,17 1 2 5 34 29
GUNTHER,12,10,0.022727,44.0,2,44,1.0000,12 6
GUNTHER,12,10,0.022727,44.0,3,44,1.0000,10 7 18 8 3
GUNTHER,12,10,0.022727,44.0,4,44,1.0000,9 4
GUNTHER,12,10,0.022727,44.0,5,44,1.0000,13 19 14
GUNTHER,12,10,0.022727,44.0,6,44,1.0000,11 15 35
GUNTHER,12,10,0.022727,44.0,7,29,0.6591,20
GUNTHER,12,10,0.022727,44.0,8,40,0.9091,16 21 30
GUNTHER,12,10,0.022727,44.0,9,42,0.9545,31 22 23 32 25 26
GUNTHER,12,10,0.022727,44.0,10,28,0.6364,24 27
GUNTHER,12,10,0.022727,44.0,11,40,0.9091,28
GUNTHER,12,10,0.022727,44.0,12,40,0.9091,33
