Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
GUNTHER,12,44.0,483,91.48,1,44,1.0000,1 5 17 2 34 35
GUNTHER,12,44.0,483,91.48,2,44,1.0000,10 6
GUNTHER,12,44.0,483,91.48,3,44,1.0000,12 7 3 8 14
GUNTHER,12,44.0,483,91.48,4,44,1.0000,4 9
GUNTHER,12,44.0,483,91.48,5,44,1.0000,11 18 15
GUNTHER,12,44.0,483,91.48,6,44,1.0000,13 19 29
GUNTHER,12,44.0,483,91.48,7,29,0.6591,20
GUNTHER,12,44.0,483,91.48,8,40,0.9091,16 21 25
GUNTHER,12,44.0,483,91.48,9,42,0.9545,22 30 23 26 31 32
GUNTHER,12,44.0,483,91.48,10,28,0.6364,24 27
GUNTHER,12,44.0,483,91.48,11,40,0.9091,33
GUNTHER,12,44.0,483,91.48,12,40,0.9091,28
