Run,Generation,BestSoFar,BestInGeneration,MeanCycle
1,1,44.0,44.0,45.2
1,2,44.0,44.0,45.07058823529412
1,3,44.0,44.0,45.06024096385542
1,4,44.0,44.0,44.87356321839081
1,5,44.0,44.0,44.8875
1,6,44.0,44.0,44.616279069767444
1,7,44.0,44.0,44.602409638554214
1,8,44.0,44.0,44.741176470588236
1,9,44.0,44.0,44.68604651162791
1,10,44.0,44.0,44.662921348314605
1,11,44.0,44.0,44.53260869565217
1,12,44.0,44.0,44.57303370786517
1,13,44.0,44.0,44.670731707317074
1,14,44.0,44.0,44.72093023255814
1,15,44.0,44.0,44.71764705882353
1,16,44.0,44.0,44.642857142857146
1,17,44.0,44.0,44.72839506172839
1,18,44.0,44.0,44.68888888888889
1,19,44.0,44.0,44.741176470588236
1,20,44.0,44.0,44.65934065934066
1,21,44.0,44.0,44.68235294117647
1,22,44.0,44.0,44.71764705882353
1,23,44.0,44.0,44.81481481481482
1,24,44.0,44.0,44.7037037037037
1,25,44.0,44.0,44.72289156626506
1,26,44.0,44.0,44.41463414634146
1,27,44.0,44.0,44.71590909090909
1,28,44.0,44.0,44.53333333333333
1,29,44.0,44.0,44.56521739130435
1,30,44.0,44.0,44.6219512195122
1,31,44.0,44.0,44.42528735632184
1,32,44.0,44.0,44.85227272727273
1,33,44.0,44.0,44.55555555555556
1,34,44.0,44.0,44.6219512195122
1,35,44.0,44.0,44.59756097560975
1,36,44.0,44.0,44.694117647058825
1,37,44.0,44.0,44.52873563218391
1,38,44.0,44.0,44.57303370786517
1,39,44.0,44.0,44.54545454545455
1,40,44.0,44.0,44.333333333333336
1,41,44.0,44.0,44.67045454545455
1,42,44.0,44.0,44.65555555555556
1,43,44.0,44.0,44.644444444444446
1,44,44.0,44.0,44.57954545454545
1,45,44.0,44.0,44.61797752808989
1,46,44.0,44.0,44.73033707865169
1,47,44.0,44.0,44.46236559139785
1,48,44.0,44.0,44.770114942528735
1,49,44.0,44.0,44.654761904761905
1,50,44.0,44.0,44.646341463414636
1,51,44.0,44.0,44.61538461538461
1,52,44.0,44.0,44.71604938271605
1,53,44.0,44.0,44.73033707865169
1,54,44.0,44.0,44.57303370786517
1,55,44.0,44.0,44.49438202247191
1,56,44.0,44.0,44.67058823529412
1,57,44.0,44.0,44.78823529411765
1,58,44.0,44.0,44.72727272727273
1,59,44.0,44.0,44.86666666666667
1,60,44.0,44.0,44.52873563218391
1,61,44.0,44.0,44.51190476190476
1,62,44.0,44.0,44.5
1,63,44.0,44.0,44.608695652173914
1,64,44.0,44.0,44.455555555555556
1,65,44.0,44.0,44.784946236559136
1,66,44.0,44.0,44.69892473118279
1,67,44.0,44.0,44.55555555555556
1,68,44.0,44.0,44.54761904761905
1,69,44.0,44.0,44.41975308641975
1,70,44.0,44.0,44.640449438202246
1,71,44.0,44.0,44.8
1,72,44.0,44.0,44.54545454545455
1,73,44.0,44.0,44.55555555555556
1,74,44.0,44.0,44.60674157303371
1,75,44.0,44.0,44.87640449438202
1,76,44.0,44.0,44.62921348314607
1,77,44.0,44.0,44.73255813953488
1,78,44.0,44.0,44.73033707865169
1,79,44.0,44.0,44.770114942528735
1,80,44.0,44.0,44.68604651162791
1,81,44.0,44.0,44.45882352941177
1,82,44.0,44.0,44.630434782608695
1,83,44.0,44.0,44.674418604651166
1,84,44.0,44.0,44.689655172413794
1,85,44.0,44.0,44.59090909090909
1,86,44.0,44.0,44.705882352941174
1,87,44.0,44.0,44.80246913580247
1,88,44.0,44.0,44.4
1,89,44.0,44.0,44.58620689655172
1,90,44.0,44.0,44.611111111111114
1,91,44.0,44.0,44.64835164835165
1,92,44.0,44.0,44.68674698795181
1,93,44.0,44.0,44.76744186046512
1,94,44.0,44.0,44.609756097560975
1,95,44.0,44.0,44.71764705882353
1,96,44.0,44.0,44.64835164835165
1,97,44.0,44.0,44.76744186046512
1,98,44.0,44.0,44.855421686746986
1,99,44.0,44.0,44.54320987654321
1,100,44.0,44.0,44.602409638554214
1,101,44.0,44.0,44.71084337349398
1,102,44.0,44.0,44.890243902439025
1,103,44.0,44.0,44.93258426966292
1,104,44.0,44.0,44.875
1,105,44.0,44.0,44.8876404494382
1,106,44.0,44.0,44.77777777777778
1,107,44.0,44.0,44.65909090909091
1,108,44.0,44.0,44.70786516853933
1,109,44.0,44.0,44.8876404494382
1,110,44.0,44.0,44.82022471910113
1,111,44.0,44.0,44.88172043010753
1,112,44.0,44.0,44.81818181818182
1,113,44.0,44.0,44.77906976744186
1,114,44.0,44.0,44.747126436781606
1,115,44.0,44.0,44.734939759036145
1,116,44.0,44.0,44.793103448275865
1,117,44.0,44.0,44.62068965517241
1,118,44.0,44.0,44.724137931034484
1,119,44.0,44.0,44.71910112359551
1,120,44.0,44.0,44.57471264367816
1,121,44.0,44.0,44.61363636363637
1,122,44.0,44.0,44.576470588235296
1,123,44.0,44.0,44.67816091954023
1,124,44.0,44.0,44.7375
1,125,44.0,44.0,44.529411764705884
1,126,44.0,44.0,44.75903614457831
1,127,44.0,44.0,44.6
1,128,44.0,44.0,44.52439024390244
1,129,44.0,44.0,44.752941176470586
1,130,44.0,44.0,44.72941176470588
1,131,44.0,44.0,44.79775280898876
1,132,44.0,44.0,44.775
1,133,44.0,44.0,44.76923076923077
1,134,44.0,44.0,44.81818181818182
1,135,44.0,44.0,44.60919540229885
1,136,44.0,44.0,44.493975903614455
1,137,44.0,44.0,44.54216867469879
1,138,44.0,44.0,44.54320987654321
1,139,44.0,44.0,44.47727272727273
1,140,44.0,44.0,44.57142857142857
1,141,44.0,44.0,44.5875
1,142,44.0,44.0,44.595238095238095
1,143,44.0,44.0,44.54216867469879
1,144,44.0,44.0,44.561797752808985
1,145,44.0,44.0,44.8
1,146,44.0,44.0,44.62068965517241
1,147,44.0,44.0,44.69318181818182
1,148,44.0,44.0,44.59770114942529
1,149,44.0,44.0,44.67777777777778
1,150,44.0,44.0,44.69318181818182
1,151,44.0,44.0,44.620253164556964
1,152,44.0,44.0,44.58620689655172
1,153,44.0,44.0,44.44578313253012
1,154,44.0,44.0,44.72093023255814
1,155,44.0,44.0,44.97674418604651
1,156,44.0,44.0,44.56818181818182
1,157,44.0,44.0,44.64772727272727
1,158,44.0,44.0,44.74418604651163
1,159,44.0,44.0,44.68235294117647
1,160,44.0,44.0,44.68674698795181
1,161,44.0,44.0,44.604651162790695
1,162,44.0,44.0,44.78048780487805
1,163,44.0,44.0,44.58139534883721
1,164,44.0,44.0,44.44444444444444
1,165,44.0,44.0,44.52325581395349
1,166,44.0,44.0,44.55952380952381
1,167,44.0,44.0,44.640449438202246
1,168,44.0,44.0,44.67032967032967
1,169,44.0,44.0,44.67857142857143
1,170,44.0,44.0,44.90588235294118
1,171,44.0,44.0,44.69047619047619
1,172,44.0,44.0,44.67901234567901
1,173,44.0,44.0,44.5632183908046
1,174,44.0,44.0,44.620253164556964
1,175,44.0,44.0,44.4390243902439
1,176,44.0,44.0,44.64772727272727
1,177,44.0,44.0,44.60919540229885
1,178,44.0,44.0,44.69565217391305
1,179,44.0,44.0,44.75555555555555
1,180,44.0,44.0,44.63953488372093
1,181,44.0,44.0,44.62068965517241
1,182,44.0,44.0,44.4320987654321
1,183,44.0,44.0,44.54320987654321
1,184,44.0,44.0,44.53932584269663
1,185,44.0,44.0,44.41935483870968
1,186,44.0,44.0,44.764044943820224
1,187,44.0,44.0,44.77647058823529
1,188,44.0,44.0,44.6
1,189,44.0,44.0,44.45652173913044
1,190,44.0,44.0,44.616279069767444
1,191,44.0,44.0,44.59550561797753
1,192,44.0,44.0,44.52325581395349
1,193,44.0,44.0,44.65
1,194,44.0,44.0,44.666666666666664
1,195,44.0,44.0,44.73033707865169
1,196,44.0,44.0,44.77906976744186
1,197,44.0,44.0,44.81707317073171
1,198,44.0,44.0,44.6375
1,199,44.0,44.0,44.741573033707866
1,200,44.0,44.0,44.72289156626506
1,201,44.0,44.0,44.793103448275865
1,202,44.0,44.0,44.82022471910113
1,203,44.0,44.0,44.69662921348315
1,204,44.0,44.0,44.71084337349398
1,205,44.0,44.0,44.7816091954023
1,206,44.0,44.0,44.625
1,207,44.0,44.0,44.75
1,208,44.0,44.0,44.59770114942529
1,209,44.0,44.0,44.65060240963855
1,210,44.0,44.0,44.82954545454545
1,211,44.0,44.0,44.79545454545455
1,212,44.0,44.0,44.67032967032967
1,213,44.0,44.0,44.625
1,214,44.0,44.0,44.527472527472526
1,215,44.0,44.0,44.54022988505747
1,216,44.0,44.0,44.57303370786517
1,217,44.0,44.0,44.694117647058825
1,218,44.0,44.0,44.493975903614455
1,219,44.0,44.0,44.470588235294116
1,220,44.0,44.0,44.527472527472526
1,221,44.0,44.0,44.804597701149426
1,222,44.0,44.0,44.77777777777778
1,223,44.0,44.0,44.505376344086024
1,224,44.0,44.0,44.51764705882353
1,225,44.0,44.0,44.76136363636363
1,226,44.0,44.0,44.544444444444444
1,227,44.0,44.0,44.78021978021978
1,228,44.0,44.0,44.561797752808985
1,229,44.0,44.0,44.8433734939759
1,230,44.0,44.0,44.71084337349398
1,231,44.0,44.0,44.65909090909091
1,232,44.0,44.0,44.75581395348837
1,233,44.0,44.0,44.7710843373494
1,234,44.0,44.0,44.51764705882353
1,235,44.0,44.0,44.59770114942529
1,236,44.0,44.0,44.59550561797753
