Instance,Stations(m),RankInBestRun,Fitness,Cycle,StationIndex,StationLoad,StationUtilization(Load/Cycle),TasksSequence
HAHN,10,1,0.000563,1775.0,1,1695,0.9549,1 4 3 7 5 2 6
HAHN,10,1,0.000563,1775.0,2,1689,0.9515,8 9 10 11 12
HAHN,10,1,0.000563,1775.0,3,1668,0.9397,15 13
HAHN,10,1,0.000563,1775.0,4,1721,0.9696,14 16 17 18 19 21
HAHN,10,1,0.000563,1775.0,5,1725,0.9718,20 22 23 25 24 26 27 28 32 29 30 34 31 33 35 36
HAHN,10,1,0.000563,1775.0,6,741,0.4175,37 39 38 40 41
HAHN,10,1,0.000563,1775.0,7,1775,1.0000,42
HAHN,10,1,0.000563,1775.0,8,1185,0.6676,47 46 45 44 50 49 43 48 51
HAHN,10,1,0.000563,1775.0,9,742,0.4180,52
HAHN,10,1,0.000563,1775.0,10,1085,0.6113,53
HAHN,10,2,0.000563,1775.0,1,1695,0.9549,1 3 5 2 6 4 7
HAHN,10,2,0.000563,1775.0,2,1689,0.9515,8 9 10 11 12
HAHN,10,2,0.000563,1775.0,3,1742,0.9814,14 13 18 53
HAHN,10,2,0.000563,1775.0,4,1596,0.8992,15 51
HAHN,10,2,0.000563,1775.0,5,1733,0.9763,17 19 22 16 25 26 27
HAHN,10,2,0.000563,1775.0,6,1774,0.9994,21 24 20 23 28 30 29 31 33 34 32 35 36 37 38 40
HAHN,10,2,0.000563,1775.0,7,1535,0.8648,39 41 52 50 47 49 45 48 44 43
HAHN,10,2,0.000563,1775.0,8,1775,1.0000,42
HAHN,10,2,0.000563,1775.0,9,487,0.2744,46
HAHN,10,2,0.000563,1775.0,10,0,0.0000,
HAHN,10,3,0.000563,1775.0,1,1207,0.6800,8
HAHN,10,3,0.000563,1775.0,2,1695,0.9549,1 4 6 3 5 2 7
HAHN,10,3,0.000563,1775.0,3,1139,0.6417,9 10 11 12 14 13 18
HAHN,10,3,0.000563,1775.0,4,1556,0.8766,15
HAHN,10,3,0.000563,1775.0,5,1609,0.9065,16 17 19 21 22 25 24 20 23
HAHN,10,3,0.000563,1775.0,6,1615,0.9099,26 27 28 33 32 30 29 31 34 35 36 37 40 39
HAHN,10,3,0.000563,1775.0,7,1543,0.8693,38 41 53 51
HAHN,10,3,0.000563,1775.0,8,1775,1.0000,42
HAHN,10,3,0.000563,1775.0,9,1145,0.6451,45 47 43 46 44 49 50 48
HAHN,10,3,0.000563,1775.0,10,742,0.4180,52
HAHN,10,4,0.000563,1775.0,1,1207,0.6800,8
HAHN,10,4,0.000563,1775.0,2,1713,0.9651,1 4 5 2 6 7 9
HAHN,10,4,0.000563,1775.0,3,1121,0.6315,10 11 12 14 13 18 3
HAHN,10,4,0.000563,1775.0,4,1556,0.8766,15
HAHN,10,4,0.000563,1775.0,5,1770,0.9972,17 19 22 25 21 24 16 26
HAHN,10,4,0.000563,1775.0,6,1454,0.8192,27 28 34 30 32 29 31 33 35 20 23 36 37 39 40
HAHN,10,4,0.000563,1775.0,7,1543,0.8693,38 41 53 51
HAHN,10,4,0.000563,1775.0,8,1775,1.0000,42
HAHN,10,4,0.000563,1775.0,9,1145,0.6451,47 46 43 48 50 45 44 49
HAHN,10,4,0.000563,1775.0,10,742,0.4180,52
HAHN,10,5,0.000563,1775.0,1,1207,0.6800,8
HAHN,10,5,0.000563,1775.0,2,1695,0.9549,1 2 4 5 6 3 7
HAHN,10,5,0.000563,1775.0,3,1139,0.6417,9 10 11 12 13 14 18
HAHN,10,5,0.000563,1775.0,4,1556,0.8766,15
HAHN,10,5,0.000563,1775.0,5,1609,0.9065,17 19 20 22 25 16 21 24 23
HAHN,10,5,0.000563,1775.0,6,1615,0.9099,26 27 28 29 31 32 34 33 30 35 36 37 40 39
HAHN,10,5,0.000563,1775.0,7,1543,0.8693,38 41 53 51
HAHN,10,5,0.000563,1775.0,8,1775,1.0000,42
HAHN,10,5,0.000563,1775.0,9,1145,0.6451,43 44 49 47 45 46 48 50
HAHN,10,5,0.000563,1775.0,10,742,0.4180,52
