Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
HAHN,10,1775.0,14026,79.02,1,1695,0.9549,1 4 3 7 5 2 6
HAHN,10,1775.0,14026,79.02,2,1689,0.9515,8 9 10 11 12
HAHN,10,1775.0,14026,79.02,3,1668,0.9397,15 13
HAHN,10,1775.0,14026,79.02,4,1721,0.9696,14 16 17 18 19 21
HAHN,10,1775.0,14026,79.02,5,1725,0.9718,20 22 23 25 24 26 27 28 32 29 30 34 31 33 35 36
HAHN,10,1775.0,14026,79.02,6,741,0.4175,37 39 38 40 41
HAHN,10,1775.0,14026,79.02,7,1775,1.0000,42
HAHN,10,1775.0,14026,79.02,8,1185,0.6676,47 46 45 44 50 49 43 48 51
HAHN,10,1775.0,14026,79.02,9,742,0.4180,52
HAHN,10,1775.0,14026,79.02,10,1085,0.6113,53
