Instance,Stations(m),RankInBestRun,Fitness,Cycle,StationIndex,StationLoad,StationUtilization(Load/Cycle),TasksSequence
LUTZ1,12,1,0.000714,1400.0,1,1282,0.9157,1 5 2 6
LUTZ1,12,1,0.000714,1400.0,2,1400,1.0000,4
LUTZ1,12,1,0.000714,1400.0,3,1380,0.9857,7 3 9
LUTZ1,12,1,0.000714,1400.0,4,1376,0.9829,11 10 8
LUTZ1,12,1,0.000714,1400.0,5,1264,0.9029,12 13 15
LUTZ1,12,1,0.000714,1400.0,6,1350,0.9643,14 16 32 31
LUTZ1,12,1,0.000714,1400.0,7,1294,0.9243,17 18
LUTZ1,12,1,0.000714,1400.0,8,1342,0.9586,19 20 21 22 30
LUTZ1,12,1,0.000714,1400.0,9,1354,0.9671,23 25 29
LUTZ1,12,1,0.000714,1400.0,10,1358,0.9700,24 26
LUTZ1,12,1,0.000714,1400.0,11,740,0.5286,27 28
LUTZ1,12,1,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,2,0.000714,1400.0,1,1282,0.9157,1 5 2 6
LUTZ1,12,2,0.000714,1400.0,2,1400,1.0000,4
LUTZ1,12,2,0.000714,1400.0,3,1380,0.9857,3 9 7
LUTZ1,12,2,0.000714,1400.0,4,1322,0.9443,8 11 12 32
LUTZ1,12,2,0.000714,1400.0,5,1204,0.8600,13 15 14
LUTZ1,12,2,0.000714,1400.0,6,1268,0.9057,17 19 20
LUTZ1,12,2,0.000714,1400.0,7,1206,0.8614,10 16
LUTZ1,12,2,0.000714,1400.0,8,1388,0.9914,18 21 22 31
LUTZ1,12,2,0.000714,1400.0,9,1240,0.8857,25 26
LUTZ1,12,2,0.000714,1400.0,10,1168,0.8343,27 28 29
LUTZ1,12,2,0.000714,1400.0,11,1282,0.9157,24 30 23
LUTZ1,12,2,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,3,0.000714,1400.0,1,1330,0.9500,3 1 5
LUTZ1,12,3,0.000714,1400.0,2,1400,1.0000,4
LUTZ1,12,3,0.000714,1400.0,3,1338,0.9557,2 6 7 8 32
LUTZ1,12,3,0.000714,1400.0,4,1316,0.9400,9 11 12
LUTZ1,12,3,0.000714,1400.0,5,1258,0.8986,13 14 10
LUTZ1,12,3,0.000714,1400.0,6,1372,0.9800,16 18
LUTZ1,12,3,0.000714,1400.0,7,1332,0.9514,15 17 31
LUTZ1,12,3,0.000714,1400.0,8,1296,0.9257,19 20 21 23
LUTZ1,12,3,0.000714,1400.0,9,1234,0.8814,22 24 25
LUTZ1,12,3,0.000714,1400.0,10,1246,0.8900,26 27
LUTZ1,12,3,0.000714,1400.0,11,1018,0.7271,28 29 30
LUTZ1,12,3,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,4,0.000714,1400.0,1,1400,1.0000,4
LUTZ1,12,4,0.000714,1400.0,2,1282,0.9157,1 5 2 6
LUTZ1,12,4,0.000714,1400.0,3,1380,0.9857,3 7 9
LUTZ1,12,4,0.000714,1400.0,4,1322,0.9443,11 8 12 32
LUTZ1,12,4,0.000714,1400.0,5,1204,0.8600,13 15 14
LUTZ1,12,4,0.000714,1400.0,6,1386,0.9900,10 17 31
LUTZ1,12,4,0.000714,1400.0,7,1346,0.9614,19 20 16
LUTZ1,12,4,0.000714,1400.0,8,1322,0.9443,18 21 23
LUTZ1,12,4,0.000714,1400.0,9,1234,0.8814,24 22 25
LUTZ1,12,4,0.000714,1400.0,10,1246,0.8900,26 27
LUTZ1,12,4,0.000714,1400.0,11,1018,0.7271,28 29 30
LUTZ1,12,4,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,5,0.000714,1400.0,1,1282,0.9157,1 5 2 6
LUTZ1,12,5,0.000714,1400.0,2,1400,1.0000,4
LUTZ1,12,5,0.000714,1400.0,3,1380,0.9857,7 3 9
LUTZ1,12,5,0.000714,1400.0,4,1376,0.9829,11 10 8
LUTZ1,12,5,0.000714,1400.0,5,1264,0.9029,12 13 15
LUTZ1,12,5,0.000714,1400.0,6,1350,0.9643,14 16 32 31
LUTZ1,12,5,0.000714,1400.0,7,1294,0.9243,17 18
LUTZ1,12,5,0.000714,1400.0,8,1342,0.9586,19 20 21 22 30
LUTZ1,12,5,0.000714,1400.0,9,1354,0.9671,23 25 29
LUTZ1,12,5,0.000714,1400.0,10,1358,0.9700,24 26
LUTZ1,12,5,0.000714,1400.0,11,740,0.5286,27 28
LUTZ1,12,5,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,6,0.000714,1400.0,1,1254,0.8957,2 3 1
LUTZ1,12,6,0.000714,1400.0,2,1218,0.8700,5 6 7 8
LUTZ1,12,6,0.000714,1400.0,3,1354,0.9671,9 10 32
LUTZ1,12,6,0.000714,1400.0,4,1400,1.0000,4
LUTZ1,12,6,0.000714,1400.0,5,1214,0.8671,11 12 13
LUTZ1,12,6,0.000714,1400.0,6,1354,0.9671,15 14 16
LUTZ1,12,6,0.000714,1400.0,7,1268,0.9057,17 19 20
LUTZ1,12,6,0.000714,1400.0,8,1388,0.9914,18 21 22 31
LUTZ1,12,6,0.000714,1400.0,9,1164,0.8314,23 25 30
LUTZ1,12,6,0.000714,1400.0,10,1358,0.9700,26 24
LUTZ1,12,6,0.000714,1400.0,11,1168,0.8343,27 28 29
LUTZ1,12,6,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,7,0.000714,1400.0,1,1330,0.9500,3 1 5
LUTZ1,12,7,0.000714,1400.0,2,1400,1.0000,4
LUTZ1,12,7,0.000714,1400.0,3,1338,0.9557,2 6 8 7 32
LUTZ1,12,7,0.000714,1400.0,4,1158,0.8271,9 10
LUTZ1,12,7,0.000714,1400.0,5,1214,0.8671,11 12 13
LUTZ1,12,7,0.000714,1400.0,6,1276,0.9114,14 15 17
LUTZ1,12,7,0.000714,1400.0,7,1346,0.9614,16 19 20
LUTZ1,12,7,0.000714,1400.0,8,1322,0.9443,18 21 23
LUTZ1,12,7,0.000714,1400.0,9,1230,0.8786,22 25 31 30
LUTZ1,12,7,0.000714,1400.0,10,1246,0.8900,26 27
LUTZ1,12,7,0.000714,1400.0,11,1280,0.9143,28 29 24
LUTZ1,12,7,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,8,0.000714,1400.0,1,1282,0.9157,2 1 5 6
LUTZ1,12,8,0.000714,1400.0,2,1400,1.0000,4
LUTZ1,12,8,0.000714,1400.0,3,1386,0.9900,3 7 8 32
LUTZ1,12,8,0.000714,1400.0,4,1316,0.9400,9 11 12
LUTZ1,12,8,0.000714,1400.0,5,1258,0.8986,10 13 14
LUTZ1,12,8,0.000714,1400.0,6,1332,0.9514,15 17 31
LUTZ1,12,8,0.000714,1400.0,7,1346,0.9614,19 16 20
LUTZ1,12,8,0.000714,1400.0,8,1322,0.9443,18 21 23
LUTZ1,12,8,0.000714,1400.0,9,1234,0.8814,22 24 25
LUTZ1,12,8,0.000714,1400.0,10,1246,0.8900,26 27
LUTZ1,12,8,0.000714,1400.0,11,1018,0.7271,28 29 30
LUTZ1,12,8,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,9,0.000714,1400.0,1,1282,0.9157,2 1 5 6
LUTZ1,12,9,0.000714,1400.0,2,1400,1.0000,4
LUTZ1,12,9,0.000714,1400.0,3,1380,0.9857,7 3 9
LUTZ1,12,9,0.000714,1400.0,4,1378,0.9843,11 12 10 32
LUTZ1,12,9,0.000714,1400.0,5,1202,0.8586,8 13 14
LUTZ1,12,9,0.000714,1400.0,6,1152,0.8229,15 16
LUTZ1,12,9,0.000714,1400.0,7,1268,0.9057,17 19 20
LUTZ1,12,9,0.000714,1400.0,8,1388,0.9914,18 21 22 31
LUTZ1,12,9,0.000714,1400.0,9,1164,0.8314,23 25 30
LUTZ1,12,9,0.000714,1400.0,10,1246,0.8900,26 27
LUTZ1,12,9,0.000714,1400.0,11,1280,0.9143,28 29 24
LUTZ1,12,9,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,10,0.000714,1400.0,1,1400,1.0000,4
LUTZ1,12,10,0.000714,1400.0,2,1282,0.9157,1 2 5 6
LUTZ1,12,10,0.000714,1400.0,3,1386,0.9900,8 3 7 32
LUTZ1,12,10,0.000714,1400.0,4,1158,0.8271,9 10
LUTZ1,12,10,0.000714,1400.0,5,1214,0.8671,11 12 13
LUTZ1,12,10,0.000714,1400.0,6,1354,0.9671,15 14 16
