Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
LUTZ1,12,1400.0,14140,84.17,1,1282,0.9157,1 5 2 6
LUTZ1,12,1400.0,14140,84.17,2,1400,1.0000,4
LUTZ1,12,1400.0,14140,84.17,3,1380,0.9857,7 3 9
LUTZ1,12,1400.0,14140,84.17,4,1376,0.9829,11 10 8
LUTZ1,12,1400.0,14140,84.17,5,1264,0.9029,12 13 15
LUTZ1,12,1400.0,14140,84.17,6,1350,0.9643,14 16 32 31
LUTZ1,12,1400.0,14140,84.17,7,1294,0.9243,17 18
LUTZ1,12,1400.0,14140,84.17,8,1342,0.9586,19 20 21 22 30
LUTZ1,12,1400.0,14140,84.17,9,1354,0.9671,23 25 29
LUTZ1,12,1400.0,14140,84.17,10,1358,0.9700,24 26
LUTZ1,12,1400.0,14140,84.17,11,740,0.5286,27 28
LUTZ1,12,1400.0,14140,84.17,12,0,0.0000,
