Instance,Stations(m),RankInBestRun,Fitness,Cycle,StationIndex,StationLoad,StationUtilization(Load/Cycle),TasksSequence
SAWYER30,7,1,0.021277,47.0,1,47,1.0000,1 10 3 16 17 5 30
SAWYER30,7,1,0.021277,47.0,2,46,0.9787,4 2 11 12
SAWYER30,7,1,0.021277,47.0,3,46,0.9787,13 6 14 7 15
SAWYER30,7,1,0.021277,47.0,4,47,1.0000,20 21 8
SAWYER30,7,1,0.021277,47.0,5,47,1.0000,22 24 18 23
SAWYER30,7,1,0.021277,47.0,6,45,0.9574,19 25 9 26
SAWYER30,7,1,0.021277,47.0,7,46,0.9787,27 28 29
SAWYER30,7,2,0.021277,47.0,1,47,1.0000,1 10 3 16 17 5 30
SAWYER30,7,2,0.021277,47.0,2,46,0.9787,4 2 11 12
SAWYER30,7,2,0.021277,47.0,3,46,0.9787,13 6 14 7 15
SAWYER30,7,2,0.021277,47.0,4,47,1.0000,20 21 8
SAWYER30,7,2,0.021277,47.0,5,47,1.0000,22 24 18 23
SAWYER30,7,2,0.021277,47.0,6,45,0.9574,19 25 9 26
SAWYER30,7,2,0.021277,47.0,7,46,0.9787,27 28 29
SAWYER30,7,3,0.021277,47.0,1,47,1.0000,3 17 1 5 4 10 30
SAWYER30,7,3,0.021277,47.0,2,46,0.9787,16 2 11 12
SAWYER30,7,3,0.021277,47.0,3,47,1.0000,13 14 6 7 8
SAWYER30,7,3,0.021277,47.0,4,47,1.0000,15 20 21 9
SAWYER30,7,3,0.021277,47.0,5,47,1.0000,22 24 23 18
SAWYER30,7,3,0.021277,47.0,6,44,0.9362,19 25 26
SAWYER30,7,3,0.021277,47.0,7,46,0.9787,27 29 28
SAWYER30,7,4,0.021277,47.0,1,47,1.0000,10 1 4 3 17 5 30
SAWYER30,7,4,0.021277,47.0,2,47,1.0000,16 18 2 11 6
SAWYER30,7,4,0.021277,47.0,3,46,0.9787,12 13 7 14
SAWYER30,7,4,0.021277,47.0,4,46,0.9787,15 20 21
SAWYER30,7,4,0.021277,47.0,5,47,1.0000,22 23 24 8
SAWYER30,7,4,0.021277,47.0,6,45,0.9574,25 9 26 19
SAWYER30,7,4,0.021277,47.0,7,46,0.9787,27 29 28
SAWYER30,7,5,0.021277,47.0,1,47,1.0000,1 10 3 16 17 5 30
SAWYER30,7,5,0.021277,47.0,2,46,0.9787,4 2 11 12
SAWYER30,7,5,0.021277,47.0,3,46,0.9787,13 6 14 7 15
SAWYER30,7,5,0.021277,47.0,4,47,1.0000,20 21 8
SAWYER30,7,5,0.021277,47.0,5,47,1.0000,22 24 18 23
SAWYER30,7,5,0.021277,47.0,6,45,0.9574,19 25 9 26
SAWYER30,7,5,0.021277,47.0,7,46,0.9787,27 28 29
SAWYER30,7,6,0.021277,47.0,1,47,1.0000,1 10 3 16 17 5 30
SAWYER30,7,6,0.021277,47.0,2,46,0.9787,4 2 11 12
SAWYER30,7,6,0.021277,47.0,3,46,0.9787,13 6 14 7 15
SAWYER30,7,6,0.021277,47.0,4,47,1.0000,20 21 8
SAWYER30,7,6,0.021277,47.0,5,47,1.0000,22 24 18 23
SAWYER30,7,6,0.021277,47.0,6,45,0.9574,19 25 9 26
SAWYER30,7,6,0.021277,47.0,7,46,0.9787,27 28 29
SAWYER30,7,7,0.021277,47.0,1,46,0.9787,2 11 12 1 5
SAWYER30,7,7,0.021277,47.0,2,47,1.0000,4 10 3 16 17 30
SAWYER30,7,7,0.021277,47.0,3,47,1.0000,6 13 14 7 8
SAWYER30,7,7,0.021277,47.0,4,47,1.0000,9 15 20 21
SAWYER30,7,7,0.021277,47.0,5,47,1.0000,22 23 24 18
SAWYER30,7,7,0.021277,47.0,6,44,0.9362,19 25 26
SAWYER30,7,7,0.021277,47.0,7,46,0.9787,27 28 29
SAWYER30,7,8,0.020833,48.0,1,47,0.9792,2 12 10 3 17
SAWYER30,7,8,0.020833,48.0,2,46,0.9583,18 16 11 1 5 30
SAWYER30,7,8,0.020833,48.0,3,46,0.9583,4 19 13 6 28
SAWYER30,7,8,0.020833,48.0,4,46,0.9583,7 8 14 15 9
SAWYER30,7,8,0.020833,48.0,5,44,0.9167,20 21 24
SAWYER30,7,8,0.020833,48.0,6,47,0.9792,25 22 23
SAWYER30,7,8,0.020833,48.0,7,48,1.0000,26 27 29
SAWYER30,7,9,0.020833,48.0,1,47,0.9792,10 2 11 12 13 30
SAWYER30,7,9,0.020833,48.0,2,47,0.9792,1 4 3 16
SAWYER30,7,9,0.020833,48.0,3,45,0.9375,17 18 19 5 6 28
SAWYER30,7,9,0.020833,48.0,4,44,0.9167,14 20 24 15
SAWYER30,7,9,0.020833,48.0,5,46,0.9583,21 7 8 9
SAWYER30,7,9,0.020833,48.0,6,47,0.9792,22 23 25
SAWYER30,7,9,0.020833,48.0,7,48,1.0000,26 27 29
SAWYER30,7,10,0.020833,48.0,1,47,0.9792,1 4 5 3 17 6
SAWYER30,7,10,0.020833,48.0,2,48,1.0000,18 19 2 10 28 30
SAWYER30,7,10,0.020833,48.0,3,46,0.9583,12 11 13 14
SAWYER30,7,10,0.020833,48.0,4,42,0.8750,15 16 20 24
SAWYER30,7,10,0.020833,48.0,5,46,0.9583,21 7 8 9
SAWYER30,7,10,0.020833,48.0,6,47,0.9792,22 23 25
SAWYER30,7,10,0.020833,48.0,7,48,1.0000,26 27 29
