Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
SAWYER30,12,28.0,324,96.43,1,28,1.0000,2 3 17
SAWYER30,12,28.0,324,96.43,2,28,1.0000,10 11 16
SAWYER30,12,28.0,324,96.43,3,28,1.0000,12 13 1
SAWYER30,12,28.0,324,96.43,4,28,1.0000,14 20
SAWYER30,12,28.0,324,96.43,5,28,1.0000,24 15 5 4
SAWYER30,12,28.0,324,96.43,6,27,0.9643,21 6
SAWYER30,12,28.0,324,96.43,7,27,0.9643,25 18
SAWYER30,12,28.0,324,96.43,8,27,0.9643,19 28 30
SAWYER30,12,28.0,324,96.43,9,28,1.0000,22 7
SAWYER30,12,28.0,324,96.43,10,27,0.9643,23 8 9
SAWYER30,12,28.0,324,96.43,11,23,0.8214,26 29
SAWYER30,12,28.0,324,96.43,12,25,0.8929,27
