Instance,Stations(m),RankInBestRun,Fitness,Cycle,StationIndex,StationLoad,StationUtilization(Load/Cycle),TasksSequence
TONGE70,12,1,0.003401,294.0,1,292,0.9932,15 16 5 24 17 1 69
TONGE70,12,1,0.003401,294.0,2,294,1.0000,18 19 20 57 22 41
TONGE70,12,1,0.003401,294.0,3,294,1.0000,21 2 3 68 4
TONGE70,12,1,0.003401,294.0,4,292,0.9932,6 30 9 10 70 7 58
TONGE70,12,1,0.003401,294.0,5,287,0.9762,11 8 12 55 65
TONGE70,12,1,0.003401,294.0,6,294,1.0000,13 14 61
TONGE70,12,1,0.003401,294.0,7,294,1.0000,23 31 33 34 66 59
TONGE70,12,1,0.003401,294.0,8,294,1.0000,32 25 28 67
TONGE70,12,1,0.003401,294.0,9,294,1.0000,26 27 29 35 36 56 62 51
TONGE70,12,1,0.003401,294.0,10,288,0.9796,53 63 52 44 37 38 39 40
TONGE70,12,1,0.003401,294.0,11,294,1.0000,45 48 49 54 64
TONGE70,12,1,0.003401,294.0,12,293,0.9966,46 47 42 43 50 60
TONGE70,12,2,0.003401,294.0,1,292,0.9932,15 16 5 24 17 1 69
TONGE70,12,2,0.003401,294.0,2,294,1.0000,18 19 20 57 22 41
TONGE70,12,2,0.003401,294.0,3,292,0.9932,21 2 30 9 10 70
TONGE70,12,2,0.003401,294.0,4,291,0.9898,11 3 68 4 7 58
TONGE70,12,2,0.003401,294.0,5,290,0.9864,6 8 12 55 65
TONGE70,12,2,0.003401,294.0,6,294,1.0000,13 14 61
TONGE70,12,2,0.003401,294.0,7,294,1.0000,23 31 33 34 66 59
TONGE70,12,2,0.003401,294.0,8,294,1.0000,32 25 28 67
TONGE70,12,2,0.003401,294.0,9,294,1.0000,26 27 29 35 36 56 62 51
TONGE70,12,2,0.003401,294.0,10,288,0.9796,53 63 52 44 37 38 39 40
TONGE70,12,2,0.003401,294.0,11,294,1.0000,45 48 49 54 64
TONGE70,12,2,0.003401,294.0,12,293,0.9966,46 47 42 43 50 60
TONGE70,12,3,0.003401,294.0,1,292,0.9932,15 16 17 5 1 69 24
TONGE70,12,3,0.003401,294.0,2,292,0.9932,9 10 18 30
TONGE70,12,3,0.003401,294.0,3,294,1.0000,19 20 57 22 21 2 41 70
TONGE70,12,3,0.003401,294.0,4,291,0.9898,3 68 4 7 11 58
TONGE70,12,3,0.003401,294.0,5,290,0.9864,6 8 12 55 65
TONGE70,12,3,0.003401,294.0,6,294,1.0000,13 14 61
TONGE70,12,3,0.003401,294.0,7,294,1.0000,23 33 31 34 66 59
TONGE70,12,3,0.003401,294.0,8,294,1.0000,32 25 28 67
TONGE70,12,3,0.003401,294.0,9,289,0.9830,26 27 29 35 53 36 62 51 37 38 39 40
TONGE70,12,3,0.003401,294.0,10,293,0.9966,56 63 52 44
TONGE70,12,3,0.003401,294.0,11,294,1.0000,45 48 49 54 64
TONGE70,12,3,0.003401,294.0,12,293,0.9966,46 47 42 43 50 60
TONGE70,12,4,0.003401,294.0,1,292,0.9932,15 16 17 5 1 69 24
TONGE70,12,4,0.003401,294.0,2,294,1.0000,18 19 20 57 22 41
TONGE70,12,4,0.003401,294.0,3,292,0.9932,21 9 70 10 2 30
TONGE70,12,4,0.003401,294.0,4,291,0.9898,11 3 68 4 7 58
TONGE70,12,4,0.003401,294.0,5,290,0.9864,6 8 12 55 65
TONGE70,12,4,0.003401,294.0,6,294,1.0000,14 13 61
TONGE70,12,4,0.003401,294.0,7,294,1.0000,23 33 31 34 66 59
TONGE70,12,4,0.003401,294.0,8,294,1.0000,32 25 28 67
TONGE70,12,4,0.003401,294.0,9,289,0.9830,26 27 29 35 53 36 62 51 37 38 39 40
TONGE70,12,4,0.003401,294.0,10,293,0.9966,56 63 52 44
TONGE70,12,4,0.003401,294.0,11,294,1.0000,45 48 49 54 64
TONGE70,12,4,0.003401,294.0,12,293,0.9966,46 47 42 43 50 60
