Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
TONGE70,12,294.0,3510,99.49,1,292,0.9932,15 16 5 24 17 1 69
TONGE70,12,294.0,3510,99.49,2,294,1.0000,18 19 20 57 22 41
TONGE70,12,294.0,3510,99.49,3,294,1.0000,21 2 3 68 4
TONGE70,12,294.0,3510,99.49,4,292,0.9932,6 30 9 10 70 7 58
TONGE70,12,294.0,3510,99.49,5,287,0.9762,11 8 12 55 65
TONGE70,12,294.0,3510,99.49,6,294,1.0000,13 14 61
TONGE70,12,294.0,3510,99.49,7,294,1.0000,23 31 33 34 66 59
TONGE70,12,294.0,3510,99.49,8,294,1.0000,32 25 28 67
TONGE70,12,294.0,3510,99.49,9,294,1.0000,26 27 29 35 36 56 62 51
TONGE70,12,294.0,3510,99.49,10,288,0.9796,53 63 52 44 37 38 39 40
TONGE70,12,294.0,3510,99.49,11,294,1.0000,45 48 49 54 64
TONGE70,12,294.0,3510,99.49,12,293,0.9966,46 47 42 43 50 60
