Instance,Stations(m),RankInBestRun,Fitness,Cycle,StationIndex,StationLoad,StationUtilization(Load/Cycle),TasksSequence
BARTHOL2,27,1,0.006289,159.0,1,158,0.9937,2 58 132 33 91 70
BARTHOL2,27,1,0.006289,159.0,2,159,1.0000,56 64 65 141 61 32 93
BARTHOL2,27,1,0.006289,159.0,3,159,1.0000,35 34 94 1 52 60
BARTHOL2,27,1,0.006289,159.0,4,159,1.0000,30 105 119 11
BARTHOL2,27,1,0.006289,159.0,5,155,0.9748,73 96 86 104 66
BARTHOL2,27,1,0.006289,159.0,6,156,0.9811,99 100 142 71
BARTHOL2,27,1,0.006289,159.0,7,158,0.9937,87 12 138 144 62 3
BARTHOL2,27,1,0.006289,159.0,8,157,0.9874,145 147 63 53 6
BARTHOL2,27,1,0.006289,159.0,9,155,0.9748,148 50 51 67
BARTHOL2,27,1,0.006289,159.0,10,158,0.9937,4 9 74 7
BARTHOL2,27,1,0.006289,159.0,11,157,0.9874,8 5 57 92 69 42
BARTHOL2,27,1,0.006289,159.0,12,152,0.9560,79 146 80
BARTHOL2,27,1,0.006289,159.0,13,157,0.9874,81 85 143 43 59 75
BARTHOL2,27,1,0.006289,159.0,14,151,0.9497,44 10 14 97 140
BARTHOL2,27,1,0.006289,159.0,15,156,0.9811,16 13 139 88 68
BARTHOL2,27,1,0.006289,159.0,16,158,0.9937,15 98 95 101 103 17
BARTHOL2,27,1,0.006289,159.0,17,157,0.9874,102 127 18 19 20 21 24
BARTHOL2,27,1,0.006289,159.0,18,155,0.9748,23 22 25 28 26 27 29 31 48 89
BARTHOL2,27,1,0.006289,159.0,19,159,1.0000,36 37 45 46 131
BARTHOL2,27,1,0.006289,159.0,20,154,0.9686,47 49 41 125
BARTHOL2,27,1,0.006289,159.0,21,158,0.9937,38 39 40 54 76
BARTHOL2,27,1,0.006289,159.0,22,156,0.9811,90 72 55 111 112 134
BARTHOL2,27,1,0.006289,159.0,23,158,0.9937,133 135 136 113 115
BARTHOL2,27,1,0.006289,159.0,24,158,0.9937,114 120 121 128 122 129 116
BARTHOL2,27,1,0.006289,159.0,25,158,0.9937,117 123 124 77 78 82 83 84
BARTHOL2,27,1,0.006289,159.0,26,159,1.0000,106 107 108 109
BARTHOL2,27,1,0.006289,159.0,27,157,0.9874,110 118 126 130 137
BARTHOL2,27,2,0.006289,159.0,1,158,0.9937,2 58 132 33 91 70
BARTHOL2,27,2,0.006289,159.0,2,159,1.0000,56 64 65 141 61 32 93
BARTHOL2,27,2,0.006289,159.0,3,159,1.0000,35 34 94 1 52 60
BARTHOL2,27,2,0.006289,159.0,4,159,1.0000,30 105 119 11
BARTHOL2,27,2,0.006289,159.0,5,155,0.9748,73 96 86 104 66
BARTHOL2,27,2,0.006289,159.0,6,156,0.9811,99 100 142 71
BARTHOL2,27,2,0.006289,159.0,7,158,0.9937,87 12 138 144 62 3
BARTHOL2,27,2,0.006289,159.0,8,157,0.9874,145 147 63 53 6
BARTHOL2,27,2,0.006289,159.0,9,155,0.9748,148 50 51 67
BARTHOL2,27,2,0.006289,159.0,10,158,0.9937,4 9 74 7
BARTHOL2,27,2,0.006289,159.0,11,157,0.9874,8 5 57 92 69 42
BARTHOL2,27,2,0.006289,159.0,12,152,0.9560,79 146 80
BARTHOL2,27,2,0.006289,159.0,13,157,0.9874,81 85 143 43 59 75
BARTHOL2,27,2,0.006289,159.0,14,151,0.9497,44 10 14 97 140
BARTHOL2,27,2,0.006289,159.0,15,156,0.9811,16 13 139 88 68
BARTHOL2,27,2,0.006289,159.0,16,158,0.9937,15 98 95 101 103 17
BARTHOL2,27,2,0.006289,159.0,17,157,0.9874,102 127 18 19 20 21 24
BARTHOL2,27,2,0.006289,159.0,18,155,0.9748,23 22 25 28 26 27 29 31 48 89
BARTHOL2,27,2,0.006289,159.0,19,159,1.0000,36 37 45 46 131
BARTHOL2,27,2,0.006289,159.0,20,154,0.9686,47 49 41 125
BARTHOL2,27,2,0.006289,159.0,21,158,0.9937,38 39 40 54 76
BARTHOL2,27,2,0.006289,159.0,22,156,0.9811,90 72 55 111 112 134
BARTHOL2,27,2,0.006289,159.0,23,158,0.9937,133 135 136 113 115
BARTHOL2,27,2,0.006289,159.0,24,158,0.9937,114 120 121 128 122 129 116
BARTHOL2,27,2,0.006289,159.0,25,158,0.9937,117 123 124 77 78 82 83 84
BARTHOL2,27,2,0.006289,159.0,26,159,1.0000,106 107 108 109
BARTHOL2,27,2,0.006289,159.0,27,157,0.9874,110 118 126 130 137
BARTHOL2,27,3,0.006289,159.0,1,158,0.9937,2 58 132 33 91 70
BARTHOL2,27,3,0.006289,159.0,2,159,1.0000,56 64 65 141 61 32 93
BARTHOL2,27,3,0.006289,159.0,3,159,1.0000,35 34 94 1 52 60
BARTHOL2,27,3,0.006289,159.0,4,159,1.0000,30 105 119 11
BARTHOL2,27,3,0.006289,159.0,5,155,0.9748,73 96 86 104 66
BARTHOL2,27,3,0.006289,159.0,6,156,0.9811,99 100 142 71
BARTHOL2,27,3,0.006289,159.0,7,158,0.9937,87 12 138 144 62 3
BARTHOL2,27,3,0.006289,159.0,8,157,0.9874,145 147 63 53 6
BARTHOL2,27,3,0.006289,159.0,9,155,0.9748,148 50 51 67
BARTHOL2,27,3,0.006289,159.0,10,158,0.9937,4 9 74 7
BARTHOL2,27,3,0.006289,159.0,11,157,0.9874,8 5 57 92 69 42
BARTHOL2,27,3,0.006289,159.0,12,152,0.9560,79 146 80
BARTHOL2,27,3,0.006289,159.0,13,157,0.9874,81 85 143 43 59 75
BARTHOL2,27,3,0.006289,159.0,14,151,0.9497,44 10 14 97 140
BARTHOL2,27,3,0.006289,159.0,15,156,0.9811,16 13 139 88 68
BARTHOL2,27,3,0.006289,159.0,16,158,0.9937,15 98 95 101 103 17
BARTHOL2,27,3,0.006289,159.0,17,157,0.9874,102 127 18 19 20 21 24
BARTHOL2,27,3,0.006289,159.0,18,155,0.9748,23 22 25 28 26 27 29 31 48 89
BARTHOL2,27,3,0.006289,159.0,19,159,1.0000,36 37 45 46 131
BARTHOL2,27,3,0.006289,159.0,20,154,0.9686,47 49 41 125
BARTHOL2,27,3,0.006289,159.0,21,158,0.9937,38 39 40 54 76
BARTHOL2,27,3,0.006289,159.0,22,156,0.9811,90 72 55 111 112 134
BARTHOL2,27,3,0.006289,159.0,23,158,0.9937,133 135 136 113 115
BARTHOL2,27,3,0.006289,159.0,24,158,0.9937,114 120 121 128 122 129 116
BARTHOL2,27,3,0.006289,159.0,25,158,0.9937,117 123 124 77 78 82 83 84
BARTHOL2,27,3,0.006289,159.0,26,159,1.0000,106 107 108 109
BARTHOL2,27,3,0.006289,159.0,27,157,0.9874,110 118 126 130 137
BARTHOL2,27,4,0.006289,159.0,1,159,1.0000,58 138 93 56 61 32 70 33
BARTHOL2,27,4,0.006289,159.0,2,157,0.9874,94 74 34 2
BARTHOL2,27,4,0.006289,159.0,3,157,0.9874,144 91 132 64 60
BARTHOL2,27,4,0.006289,159.0,4,153,0.9623,71 65 66 141 35 1
BARTHOL2,27,4,0.006289,159.0,5,159,1.0000,30 105 119 11
BARTHOL2,27,4,0.006289,159.0,6,159,1.0000,73 96 104 86 12 52
BARTHOL2,27,4,0.006289,159.0,7,153,0.9623,87 88 99 13
BARTHOL2,27,4,0.006289,159.0,8,158,0.9937,100 142 145 62 63 67
BARTHOL2,27,4,0.006289,159.0,9,156,0.9811,148 147
BARTHOL2,27,4,0.006289,159.0,10,157,0.9874,50 51 53 3 5 6 57 42
BARTHOL2,27,4,0.006289,159.0,11,159,1.0000,4 8 10 9 59
BARTHOL2,27,4,0.006289,159.0,12,155,0.9748,7 92 69 85 43 75
BARTHOL2,27,4,0.006289,159.0,13,152,0.9560,79 146 80
BARTHOL2,27,4,0.006289,159.0,14,156,0.9811,143 81 44
BARTHOL2,27,4,0.006289,159.0,15,157,0.9874,14 16 97 139 140 68
BARTHOL2,27,4,0.006289,159.0,16,158,0.9937,15 98 95 101 103 17
