Instance,Stations(m),RankInBestRun,Fitness,Cycle,StationIndex,StationLoad,StationUtilization(Load/Cycle),TasksSequence
BARTHOLD,12,1,0.002128,470.0,1,470,1.0000,30 61 138 139 93 2 58 1 62 132 92 56 11 42 43 44 32 59 60
BARTHOLD,12,1,0.002128,470.0,2,469,0.9979,74 94 50 51 69 79 3
BARTHOLD,12,1,0.002128,470.0,3,469,0.9979,85 75 97 33 144 145 6
BARTHOLD,12,1,0.002128,470.0,4,470,1.0000,12 13 57 52 53 73 96 86 87 104 88 140 63 64 65
BARTHOLD,12,1,0.002128,470.0,5,470,1.0000,141 142 148 146 5
BARTHOLD,12,1,0.002128,470.0,6,470,1.0000,147 4 8 10 91 105 119 99
BARTHOLD,12,1,0.002128,470.0,7,467,0.9936,100 34 35 7 9 14 15 16 17 19 18 20 23 22 70 66 67 68 80 21
BARTHOLD,12,1,0.002128,470.0,8,470,1.0000,71 98 95 101 102 143 81 103 127 24 25 26 28 27
BARTHOLD,12,1,0.002128,470.0,9,470,1.0000,29 31 36 37 38 39 45 40 41 46 47 54 89 48 55 90
BARTHOLD,12,1,0.002128,470.0,10,469,0.9979,49 111 72 134 76 112 113 123 114 115 133 77 78 82 83 84 128
BARTHOLD,12,1,0.002128,470.0,11,470,1.0000,106 107 108 109 129
BARTHOLD,12,1,0.002128,470.0,12,470,1.0000,110 124 125 130 131 137 116 117 118 120 121 122 126 135 136
BARTHOLD,12,2,0.002128,470.0,1,470,1.0000,30 61 138 139 93 2 58 1 62 132 92 56 11 42 43 44 32 59 60
BARTHOLD,12,2,0.002128,470.0,2,469,0.9979,74 94 50 51 69 79 3
BARTHOLD,12,2,0.002128,470.0,3,469,0.9979,85 75 97 33 144 145 6
BARTHOLD,12,2,0.002128,470.0,4,470,1.0000,12 13 57 52 53 73 96 86 87 104 88 140 63 64 65
BARTHOLD,12,2,0.002128,470.0,5,470,1.0000,141 142 148 146 5
BARTHOLD,12,2,0.002128,470.0,6,470,1.0000,147 4 8 10 91 105 119 99
BARTHOLD,12,2,0.002128,470.0,7,467,0.9936,100 34 35 7 9 14 15 16 17 19 18 20 23 22 70 66 67 68 80 21
BARTHOLD,12,2,0.002128,470.0,8,470,1.0000,71 98 95 101 102 143 81 103 127 24 25 26 28 27
BARTHOLD,12,2,0.002128,470.0,9,470,1.0000,29 31 36 37 38 39 45 40 41 46 47 54 89 48 55 90
BARTHOLD,12,2,0.002128,470.0,10,469,0.9979,49 111 72 134 76 112 113 123 114 115 133 77 78 82 83 84 128
BARTHOLD,12,2,0.002128,470.0,11,470,1.0000,106 107 108 109 129
BARTHOLD,12,2,0.002128,470.0,12,470,1.0000,110 124 125 130 131 137 116 117 118 120 121 122 126 135 136
BARTHOLD,12,3,0.002128,470.0,1,470,1.0000,30 61 138 139 93 2 58 1 62 132 92 56 11 42 43 44 32 59 60
BARTHOLD,12,3,0.002128,470.0,2,469,0.9979,74 94 50 51 69 79 3
BARTHOLD,12,3,0.002128,470.0,3,469,0.9979,85 75 97 33 144 145 6
BARTHOLD,12,3,0.002128,470.0,4,470,1.0000,12 13 57 52 53 73 96 86 87 104 88 140 63 64 65
BARTHOLD,12,3,0.002128,470.0,5,470,1.0000,141 142 148 146 5
BARTHOLD,12,3,0.002128,470.0,6,470,1.0000,147 4 8 10 91 105 119 99
BARTHOLD,12,3,0.002128,470.0,7,467,0.9936,100 34 35 7 9 14 15 16 17 19 18 20 23 22 70 66 67 68 80 21
BARTHOLD,12,3,0.002128,470.0,8,470,1.0000,71 98 95 101 102 143 81 103 127 24 25 26 28 27
BARTHOLD,12,3,0.002128,470.0,9,470,1.0000,29 31 36 37 38 39 45 40 41 46 47 54 89 48 55 90
BARTHOLD,12,3,0.002128,470.0,10,469,0.9979,49 111 72 134 76 112 113 123 114 115 133 77 78 82 83 84 128
BARTHOLD,12,3,0.002128,470.0,11,470,1.0000,106 107 108 109 129
BARTHOLD,12,3,0.002128,470.0,12,470,1.0000,110 124 125 130 131 137 116 117 118 120 121 122 126 135 136
BARTHOLD,12,4,0.002123,471.0,1,471,1.0000,2 93 144 60 74 61 56 42 43 44 94 52
BARTHOLD,12,4,0.002123,471.0,2,468,0.9936,50 51 69 141 59 75 97 30 138 139 32
BARTHOLD,12,4,0.002123,471.0,3,467,0.9915,145 140 79 85 80
BARTHOLD,12,4,0.002123,471.0,4,470,0.9979,81 1 92 142 148 147 146 11 62
BARTHOLD,12,4,0.002123,471.0,5,468,0.9936,64 132 65 99 100 91 105 119 12 13 33 63
BARTHOLD,12,4,0.002123,471.0,6,471,1.0000,35 57 3 5 6 4 66 67 7 58 73 86 88 96 104 87
BARTHOLD,12,4,0.002123,471.0,7,469,0.9958,9 68 98 95 53 143 8 10 14 15 16
BARTHOLD,12,4,0.002123,471.0,8,471,1.0000,34 17 18 19 20 23 22 24 21 25 26 70 71 101 102 103 127 27 28
BARTHOLD,12,4,0.002123,471.0,9,470,0.9979,29 31 36 37 38 39 45 46 47 49 40 41 54 76
BARTHOLD,12,4,0.002123,471.0,10,471,1.0000,89 48 90 111 72 134 55 133 112 113 128 116 120 114 115 123 124 125
BARTHOLD,12,4,0.002123,471.0,11,467,0.9915,135 136 121 122 77 78 82 83 84 106 107 110 129 130 137 131 117 118
BARTHOLD,12,4,0.002123,471.0,12,471,1.0000,108 109 126
BARTHOLD,12,5,0.002119,472.0,1,470,0.9958,144 145 138 2 92 57 11 50 33 3
BARTHOLD,12,5,0.002119,472.0,2,472,1.0000,141 51 69 30 58 1 132 91 52
BARTHOLD,12,5,0.002119,472.0,3,469,0.9936,105 53 59 70 142 35 60 93 56 32 61 62
