Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
BARTHOLD,12,470.0,5634,99.89,1,470,1.0000,30 61 138 139 93 2 58 1 62 132 92 56 11 42 43 44 32 59 60
BARTHOLD,12,470.0,5634,99.89,2,469,0.9979,74 94 50 51 69 79 3
BARTHOLD,12,470.0,5634,99.89,3,469,0.9979,85 75 97 33 144 145 6
BARTHOLD,12,470.0,5634,99.89,4,470,1.0000,12 13 57 52 53 73 96 86 87 104 88 140 63 64 65
BARTHOLD,12,470.0,5634,99.89,5,470,1.0000,141 142 148 146 5
BARTHOLD,12,470.0,5634,99.89,6,470,1.0000,147 4 8 10 91 105 119 99
BARTHOLD,12,470.0,5634,99.89,7,467,0.9936,100 34 35 7 9 14 15 16 17 19 18 20 23 22 70 66 67 68 80 21
BARTHOLD,12,470.0,5634,99.89,8,470,1.0000,71 98 95 101 102 143 81 103 127 24 25 26 28 27
BARTHOLD,12,470.0,5634,99.89,9,470,1.0000,29 31 36 37 38 39 45 40 41 46 47 54 89 48 55 90
BARTHOLD,12,470.0,5634,99.89,10,469,0.9979,49 111 72 134 76 112 113 123 114 115 133 77 78 82 83 84 128
BARTHOLD,12,470.0,5634,99.89,11,470,1.0000,106 107 108 109 129
BARTHOLD,12,470.0,5634,99.89,12,470,1.0000,110 124 125 130 131 137 116 117 118 120 121 122 126 135 136
