deneme,mut,cros,best_cycle_over_10_runs
1,0.005,0.55,6562.0
2,0.005,0.6,6541.0
3,0.005,0.65,6539.0
4,0.005,0.7,6560.0
5,0.005,0.75,6507.0
6,0.005,0.8,6562.0
7,0.005,0.9,6562.0
8,0.005,0.98,6562.0
9,0.01,0.55,6529.0
10,0.01,0.6,6508.0
11,0.01,0.65,6558.0
12,0.01,0.7,6533.0
13,0.01,0.75,6510.0
14,0.01,0.8,6533.0
15,0.01,0.9,6515.0
16,0.01,0.98,6533.0
17,0.02,0.55,6493.0
18,0.02,0.6,6528.0
19,0.02,0.65,6495.0
20,0.02,0.7,6495.0
21,0.02,0.75,6516.0
22,0.02,0.8,6540.0
23,0.02,0.9,6515.0
24,0.02,0.98,6491.0
25,0.04,0.55,6467.0
26,0.04,0.6,6533.0
27,0.04,0.65,6467.0
28,0.04,0.7,6511.0
29,0.04,0.75,6485.0
30,0.04,0.8,6506.0
31,0.04,0.9,6517.0
32,0.04,0.98,6510.0
33,0.06,0.55,6481.0
34,0.06,0.6,6467.0
35,0.06,0.65,6481.0
36,0.06,0.7,6497.0
37,0.06,0.75,6515.0
38,0.06,0.8,6533.0
39,0.06,0.9,6533.0
40,0.06,0.98,6558.0
41,0.08,0.55,6467.0
42,0.08,0.6,6490.0
43,0.08,0.65,6517.0
44,0.08,0.7,6467.0
45,0.08,0.75,6472.0
46,0.08,0.8,6533.0
47,0.08,0.9,6491.0
48,0.08,0.98,6492.0
49,0.12,0.55,6481.0
50,0.12,0.6,6481.0
51,0.12,0.65,6505.0
52,0.12,0.7,6467.0
53,0.12,0.75,6501.0
54,0.12,0.8,6495.0
55,0.12,0.9,6513.0
56,0.12,0.98,6515.0
57,0.2,0.55,6481.0
58,0.2,0.6,6467.0
59,0.2,0.65,6467.0
60,0.2,0.7,6492.0
61,0.2,0.75,6489.0
62,0.2,0.8,6490.0
63,0.2,0.9,6485.0
64,0.2,0.98,6507.0
