Instance,Stations(m),RankInBestRun,Fitness,Cycle,StationIndex,StationLoad,StationUtilization(Load/Cycle),TasksSequence
LUTZ1,12,1,0.000714,1400.0,1,1282,0.9157,2 1 5 6
LUTZ1,12,1,0.000714,1400.0,2,1400,1.0000,4
LUTZ1,12,1,0.000714,1400.0,3,1386,0.9900,3 8 7 32
LUTZ1,12,1,0.000714,1400.0,4,1316,0.9400,9 11 12
LUTZ1,12,1,0.000714,1400.0,5,1258,0.8986,10 13 14
LUTZ1,12,1,0.000714,1400.0,6,1372,0.9800,16 18
LUTZ1,12,1,0.000714,1400.0,7,1332,0.9514,15 17 31
LUTZ1,12,1,0.000714,1400.0,8,1296,0.9257,19 20 21 23
LUTZ1,12,1,0.000714,1400.0,9,1234,0.8814,22 24 25
LUTZ1,12,1,0.000714,1400.0,10,1246,0.8900,26 27
LUTZ1,12,1,0.000714,1400.0,11,1018,0.7271,28 29 30
LUTZ1,12,1,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,2,0.000714,1400.0,1,1400,1.0000,4
LUTZ1,12,2,0.000714,1400.0,2,1254,0.8957,1 3 2
LUTZ1,12,2,0.000714,1400.0,3,1218,0.8700,5 6 7 8
LUTZ1,12,2,0.000714,1400.0,4,1316,0.9400,9 11 12
LUTZ1,12,2,0.000714,1400.0,5,1258,0.8986,10 13 14
LUTZ1,12,2,0.000714,1400.0,6,1372,0.9800,16 18
LUTZ1,12,2,0.000714,1400.0,7,1270,0.9071,15 17 32
LUTZ1,12,2,0.000714,1400.0,8,1362,0.9729,19 20 21 22 31
LUTZ1,12,2,0.000714,1400.0,9,1120,0.8000,25 24 30
LUTZ1,12,2,0.000714,1400.0,10,1324,0.9457,23 29 28
LUTZ1,12,2,0.000714,1400.0,11,1246,0.8900,26 27
LUTZ1,12,2,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,3,0.000714,1400.0,1,1400,1.0000,4
LUTZ1,12,3,0.000714,1400.0,2,1254,0.8957,3 2 1
LUTZ1,12,3,0.000714,1400.0,3,1390,0.9929,5 6 9 32
LUTZ1,12,3,0.000714,1400.0,4,1376,0.9829,8 10 11
LUTZ1,12,3,0.000714,1400.0,5,1222,0.8729,7 12 13 14
LUTZ1,12,3,0.000714,1400.0,6,1372,0.9800,16 18
LUTZ1,12,3,0.000714,1400.0,7,1332,0.9514,15 17 31
LUTZ1,12,3,0.000714,1400.0,8,1342,0.9586,19 20 21 22 30
LUTZ1,12,3,0.000714,1400.0,9,1044,0.7457,24 23
LUTZ1,12,3,0.000714,1400.0,10,1240,0.8857,25 26
LUTZ1,12,3,0.000714,1400.0,11,1168,0.8343,27 28 29
LUTZ1,12,3,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,4,0.000714,1400.0,1,1330,0.9500,1 5 3
LUTZ1,12,4,0.000714,1400.0,2,1400,1.0000,4
LUTZ1,12,4,0.000714,1400.0,3,1332,0.9514,2 6 9 7
LUTZ1,12,4,0.000714,1400.0,4,1378,0.9843,10 11 12 32
LUTZ1,12,4,0.000714,1400.0,5,1202,0.8586,8 13 14
LUTZ1,12,4,0.000714,1400.0,6,1152,0.8229,15 16
LUTZ1,12,4,0.000714,1400.0,7,1294,0.9243,18 17
LUTZ1,12,4,0.000714,1400.0,8,1362,0.9729,19 20 21 22 31
LUTZ1,12,4,0.000714,1400.0,9,1164,0.8314,23 25 30
LUTZ1,12,4,0.000714,1400.0,10,1358,0.9700,26 24
LUTZ1,12,4,0.000714,1400.0,11,1168,0.8343,27 28 29
LUTZ1,12,4,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,5,0.000714,1400.0,1,1254,0.8957,3 2 1
LUTZ1,12,5,0.000714,1400.0,2,1218,0.8700,5 6 8 7
LUTZ1,12,5,0.000714,1400.0,3,1400,1.0000,4
LUTZ1,12,5,0.000714,1400.0,4,1316,0.9400,9 11 12
LUTZ1,12,5,0.000714,1400.0,5,1258,0.8986,10 13 14
LUTZ1,12,5,0.000714,1400.0,6,1270,0.9071,15 17 32
LUTZ1,12,5,0.000714,1400.0,7,1346,0.9614,19 20 16
LUTZ1,12,5,0.000714,1400.0,8,1322,0.9443,18 21 23
LUTZ1,12,5,0.000714,1400.0,9,1234,0.8814,24 22 25
LUTZ1,12,5,0.000714,1400.0,10,1246,0.8900,26 27
LUTZ1,12,5,0.000714,1400.0,11,1276,0.9114,28 29 30 31
LUTZ1,12,5,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,6,0.000714,1400.0,1,1254,0.8957,3 1 2
LUTZ1,12,6,0.000714,1400.0,2,1400,1.0000,4
LUTZ1,12,6,0.000714,1400.0,3,1390,0.9929,5 6 9 32
LUTZ1,12,6,0.000714,1400.0,4,1340,0.9571,11 7 8 12
LUTZ1,12,6,0.000714,1400.0,5,1204,0.8600,13 15 14
LUTZ1,12,6,0.000714,1400.0,6,1386,0.9900,10 17 31
LUTZ1,12,6,0.000714,1400.0,7,1372,0.9800,16 18
LUTZ1,12,6,0.000714,1400.0,8,1342,0.9586,19 20 21 22 30
LUTZ1,12,6,0.000714,1400.0,9,1310,0.9357,25 24 29
LUTZ1,12,6,0.000714,1400.0,10,1284,0.9171,23 28 27
LUTZ1,12,6,0.000714,1400.0,11,858,0.6129,26
LUTZ1,12,6,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,7,0.000714,1400.0,1,1254,0.8957,2 3 1
LUTZ1,12,7,0.000714,1400.0,2,1400,1.0000,4
LUTZ1,12,7,0.000714,1400.0,3,1218,0.8700,5 6 7 8
LUTZ1,12,7,0.000714,1400.0,4,1316,0.9400,9 11 12
LUTZ1,12,7,0.000714,1400.0,5,1400,1.0000,13 14 15 32
LUTZ1,12,7,0.000714,1400.0,6,1268,0.9057,17 19 20
LUTZ1,12,7,0.000714,1400.0,7,1206,0.8614,10 16
LUTZ1,12,7,0.000714,1400.0,8,1278,0.9129,18 21 24
LUTZ1,12,7,0.000714,1400.0,9,1278,0.9129,23 22 25
LUTZ1,12,7,0.000714,1400.0,10,1246,0.8900,26 27
LUTZ1,12,7,0.000714,1400.0,11,1276,0.9114,28 29 30 31
LUTZ1,12,7,0.000714,1400.0,12,0,0.0000,
LUTZ1,12,8,0.000714,1400.0,1,1330,0.9500,3 1 5
LUTZ1,12,8,0.000714,1400.0,2,1400,1.0000,4
LUTZ1,12,8,0.000714,1400.0,3,1332,0.9514,2 6 9 7
LUTZ1,12,8,0.000714,1400.0,4,1376,0.9829,8 11 10
LUTZ1,12,8,0.000714,1400.0,5,1264,0.9029,12 13 15
LUTZ1,12,8,0.000714,1400.0,6,1350,0.9643,14 16 32 31
LUTZ1,12,8,0.000714,1400.0,7,1294,0.9243,18 17
LUTZ1,12,8,0.000714,1400.0,8,1296,0.9257,19 20 21 23
