Instance,Stations(m),BestCycle,TotalWork(sum_ti),GlobalLineEfficiency(%),StationIndex,StationLoad,StationUtilization(Load/BestCycle),TasksSequence
SCHOLL,39,1818.0,69655,98.24,1,1817,0.9994,1 2 3 4 105 27 40 56
SCHOLL,39,1818.0,69655,98.24,2,1781,0.9796,109 26 30 5 6 8 134 10 61
SCHOLL,39,1818.0,69655,98.24,3,1817,0.9994,110 162 297 65 31 34 35 172
SCHOLL,39,1818.0,69655,98.24,4,1797,0.9884,86 83 90 95 221 223 111 93 94 247
SCHOLL,39,1818.0,69655,98.24,5,1770,0.9736,259 266 9 7 20 11 15
SCHOLL,39,1818.0,69655,98.24,6,1778,0.9780,12 17 14 19 13 18 136 22
SCHOLL,39,1818.0,69655,98.24,7,1797,0.9884,116 139 253 142 152 175
SCHOLL,39,1818.0,69655,98.24,8,1810,0.9956,164 167 171 260 122 129 141 151 163
SCHOLL,39,1818.0,69655,98.24,9,1798,0.9890,60 68 73 82 89 88 42 46 138
SCHOLL,39,1818.0,69655,98.24,10,1798,0.9890,191 51 55 59 180 252 258 265 272 225
SCHOLL,39,1818.0,69655,98.24,11,1800,0.9901,179 25 24 29 44 81 87 99 100 275
SCHOLL,39,1818.0,69655,98.24,12,1787,0.9829,121 128 103 104 48
SCHOLL,39,1818.0,69655,98.24,13,1757,0.9664,108 292 115 120 150 21 33 38 41
SCHOLL,39,1818.0,69655,98.24,14,1783,0.9807,45 50 49 53 16 23 28 161
SCHOLL,39,1818.0,69655,98.24,15,1787,0.9829,32 36 114 119 127 280
SCHOLL,39,1818.0,69655,98.24,16,1818,1.0000,157 54 296 58 290
SCHOLL,39,1818.0,69655,98.24,17,1758,0.9670,64 72 37 39 43 47 52
SCHOLL,39,1818.0,69655,98.24,18,1804,0.9923,57 63 76 71 62 66 69 78 79 80
SCHOLL,39,1818.0,69655,98.24,19,1764,0.9703,74 77 85 92 125 192
SCHOLL,39,1818.0,69655,98.24,20,1752,0.9637,201 98 102 107 113 118 126 67 70 75 84
SCHOLL,39,1818.0,69655,98.24,21,1813,0.9972,97 91 96 101 106
SCHOLL,39,1818.0,69655,98.24,22,1791,0.9851,112 117 124 123 147 145 149 160 146 155 257 264 156 148
SCHOLL,39,1818.0,69655,98.24,23,1761,0.9686,130 131 144 133 154 132
SCHOLL,39,1818.0,69655,98.24,24,1817,0.9994,158 159 166 135 137 140 170
SCHOLL,39,1818.0,69655,98.24,25,1787,0.9829,143 153 165 176 168 169 173 177 174 288 178 181
SCHOLL,39,1818.0,69655,98.24,26,1801,0.9906,287 185 182 197 184 194 186 187 188 196
SCHOLL,39,1818.0,69655,98.24,27,1738,0.9560,295 189 183 190
SCHOLL,39,1818.0,69655,98.24,28,1800,0.9901,193 195 205 203 199 227 230 232 198
SCHOLL,39,1818.0,69655,98.24,29,1805,0.9928,271 229 236 235 206 200
SCHOLL,39,1818.0,69655,98.24,30,1783,0.9807,209 208 211 289 239 279 286 202
SCHOLL,39,1818.0,69655,98.24,31,1779,0.9785,251 204 250 207 210 212 213 214 234 256 238
SCHOLL,39,1818.0,69655,98.24,32,1783,0.9807,285 215 216 217 218 219 220 222
SCHOLL,39,1818.0,69655,98.24,33,1751,0.9631,263 270 224 226 228 231 233 237
SCHOLL,39,1818.0,69655,98.24,34,1768,0.9725,240 243 241 242 294
SCHOLL,39,1818.0,69655,98.24,35,1818,1.0000,244 255 246 262
SCHOLL,39,1818.0,69655,98.24,36,1802,0.9912,245 248 249 284
SCHOLL,39,1818.0,69655,98.24,37,1794,0.9868,254 261 269 268 274 278 267
SCHOLL,39,1818.0,69655,98.24,38,1679,0.9235,282 277 283 273 276 281
SCHOLL,39,1818.0,69655,98.24,39,1812,0.9967,291 293
