Instance,Stations(m),RankInBestRun,Fitness,Cycle,StationIndex,StationLoad,StationUtilization(Load/Cycle),TasksSequence
TONGE70,17,1,0.004785,209.0,1,208,0.9952,5 15 9 1 69
TONGE70,17,1,0.004785,209.0,2,209,1.0000,10 11 70 41 30
TONGE70,17,1,0.004785,209.0,3,206,0.9856,16 17 2
TONGE70,17,1,0.004785,209.0,4,206,0.9856,3 4 6 24
TONGE70,17,1,0.004785,209.0,5,208,0.9952,7 8 12 55
TONGE70,17,1,0.004785,209.0,6,207,0.9904,18 19 57 58 59
TONGE70,17,1,0.004785,209.0,7,202,0.9665,20 21 22 60 66
TONGE70,17,1,0.004785,209.0,8,207,0.9904,14 68
TONGE70,17,1,0.004785,209.0,9,207,0.9904,13 23
TONGE70,17,1,0.004785,209.0,10,209,1.0000,25 26 65
TONGE70,17,1,0.004785,209.0,11,202,0.9665,33 28 29
TONGE70,17,1,0.004785,209.0,12,207,0.9904,27 31 32 34 35
TONGE70,17,1,0.004785,209.0,13,206,0.9856,44 62 61 48 53 51
TONGE70,17,1,0.004785,209.0,14,204,0.9761,63 45 67
TONGE70,17,1,0.004785,209.0,15,208,0.9952,49 46 52 36
TONGE70,17,1,0.004785,209.0,16,208,0.9952,54 56 37 38 39 40
TONGE70,17,1,0.004785,209.0,17,206,0.9856,42 43 64 47 50
TONGE70,17,2,0.004785,209.0,1,208,0.9952,5 15 9 1 69
TONGE70,17,2,0.004785,209.0,2,209,1.0000,10 11 70 41 30
TONGE70,17,2,0.004785,209.0,3,206,0.9856,16 17 2
TONGE70,17,2,0.004785,209.0,4,206,0.9856,3 4 6 24
TONGE70,17,2,0.004785,209.0,5,208,0.9952,7 8 12 55
TONGE70,17,2,0.004785,209.0,6,207,0.9904,18 19 57 58 59
TONGE70,17,2,0.004785,209.0,7,202,0.9665,20 21 22 60 66
TONGE70,17,2,0.004785,209.0,8,207,0.9904,14 68
TONGE70,17,2,0.004785,209.0,9,207,0.9904,13 23
TONGE70,17,2,0.004785,209.0,10,209,1.0000,25 26 65
TONGE70,17,2,0.004785,209.0,11,202,0.9665,33 28 29
TONGE70,17,2,0.004785,209.0,12,207,0.9904,27 31 32 34 35
TONGE70,17,2,0.004785,209.0,13,206,0.9856,44 62 61 48 53 51
TONGE70,17,2,0.004785,209.0,14,204,0.9761,63 45 67
TONGE70,17,2,0.004785,209.0,15,208,0.9952,49 46 52 36
TONGE70,17,2,0.004785,209.0,16,208,0.9952,54 56 37 38 39 40
TONGE70,17,2,0.004785,209.0,17,206,0.9856,42 43 64 47 50
TONGE70,17,3,0.004785,209.0,1,208,0.9952,5 15 9 1 69
TONGE70,17,3,0.004785,209.0,2,209,1.0000,10 11 70 41 30
TONGE70,17,3,0.004785,209.0,3,206,0.9856,16 17 2
TONGE70,17,3,0.004785,209.0,4,206,0.9856,3 4 6 24
TONGE70,17,3,0.004785,209.0,5,208,0.9952,7 8 12 55
TONGE70,17,3,0.004785,209.0,6,207,0.9904,18 19 57 58 59
TONGE70,17,3,0.004785,209.0,7,202,0.9665,20 21 22 60 66
TONGE70,17,3,0.004785,209.0,8,207,0.9904,14 68
TONGE70,17,3,0.004785,209.0,9,207,0.9904,13 23
TONGE70,17,3,0.004785,209.0,10,209,1.0000,25 26 65
TONGE70,17,3,0.004785,209.0,11,202,0.9665,33 28 29
TONGE70,17,3,0.004785,209.0,12,207,0.9904,27 31 32 34 35
TONGE70,17,3,0.004785,209.0,13,206,0.9856,44 62 61 48 53 51
TONGE70,17,3,0.004785,209.0,14,204,0.9761,63 45 67
