Mutation,Crossover,Avg_Best_Cycle,Min_Best_Cycle,Time_Sec
0.01,0.2,6542.8,6475.0,48.79
0.01,0.3,6551.9,6489.0,59.86
0.01,0.4,6543.5,6498.0,70.77
0.01,0.5,6555.7,6498.0,83.35
0.01,0.6,6545.9,6491.0,94.23
0.01,0.7,6557.3,6533.0,105.13
0.01,0.8,6552.8,6533.0,113.61
0.01,0.9,6544.9,6515.0,124.86
0.05,0.2,6515.0,6467.0,48.62
0.05,0.3,6496.9,6467.0,59.80
0.05,0.4,6515.2,6467.0,71.03
0.05,0.5,6531.9,6467.0,82.17
0.05,0.6,6532.1,6475.0,92.55
0.05,0.7,6524.3,6491.0,103.64
0.05,0.8,6547.7,6505.0,116.02
0.05,0.9,6530.6,6483.0,124.80
0.1,0.2,6506.3,6459.0,53.08
0.1,0.3,6499.2,6467.0,64.19
0.1,0.4,6502.1,6467.0,74.21
0.1,0.5,6494.2,6467.0,84.13
0.1,0.6,6502.0,6467.0,94.45
0.1,0.7,6515.5,6467.0,105.59
0.1,0.8,6510.0,6485.0,115.42
0.1,0.9,6526.3,6479.0,126.70
0.2,0.2,6489.8,6467.0,61.43
0.2,0.3,6473.4,6467.0,70.68
0.2,0.4,6485.5,6467.0,82.89
0.2,0.5,6498.1,6467.0,94.75
0.2,0.6,6486.9,6467.0,99.31
0.2,0.7,6498.8,6467.0,108.96
0.2,0.8,6517.7,6490.0,119.10
0.2,0.9,6516.7,6467.0,127.93
0.3,0.2,6474.0,6437.0,69.78
0.3,0.3,6468.6,6467.0,78.45
0.3,0.4,6479.4,6467.0,87.29
0.3,0.5,6483.6,6467.0,95.26
0.3,0.6,6497.5,6469.0,104.02
0.3,0.7,6495.8,6467.0,111.34
0.3,0.8,6509.2,6467.0,119.42
0.3,0.9,6507.9,6467.0,129.07
0.5,0.2,6464.5,6434.0,84.80
0.5,0.3,6465.7,6460.0,92.26
0.5,0.4,6472.1,6467.0,98.82
0.5,0.5,6469.9,6450.0,104.92
0.5,0.6,6487.1,6467.0,111.02
0.5,0.7,6488.5,6467.0,116.85
0.5,0.8,6500.2,6481.0,123.80
0.5,0.9,6508.3,6467.0,130.03
0.7,0.2,6467.0,6467.0,103.07
0.7,0.3,6471.0,6467.0,106.96
0.7,0.4,6471.4,6467.0,110.92
0.7,0.5,6466.2,6459.0,114.86
0.7,0.6,6476.8,6467.0,119.16
0.7,0.7,6482.8,6467.0,124.27
0.7,0.8,6494.5,6467.0,127.40
0.7,0.9,6492.0,6481.0,132.61
0.8,0.2,6470.4,6434.0,110.37
0.8,0.3,6467.0,6467.0,113.25
0.8,0.4,6467.0,6467.0,118.34
0.8,0.5,6467.0,6467.0,120.02
0.8,0.6,6474.1,6467.0,124.63
0.8,0.7,6482.3,6467.0,125.93
0.8,0.8,6486.2,6467.0,130.67
0.8,0.9,6495.5,6467.0,134.17
